A     |  AC     |  C
0-26  |  26-53  |  53a+
1,6   |  0,7    |  -
0,90  |  0,40   |  -
0,08  |  -      |  -
11,3  |  -      |  -
9,4   |  9,0    |  6,4
22,2  |  20,6   |  20,3
65,0  |  65,0   |  68,5
3,0   |  4,5    |  4,0
0,5   |  0,5    |  0,5
0,0   |  0,0    |  0,5
0,0   |  0,0    |  0,0
0,0   |  0,0    |  0,0
12,2  |  11,1   |  9,4
6,0   |  6,7    |  7,3
6,4   |  6,9    |  7,6
6,1   |  6,5    |  7,0
0,8   |  1,5    |  1,6
0,2   |  0,1    |  0,1
1,7   |  1,2    |  0,7
0,9   |  0,3    |  -
2,0   |  1,0    |  1,1
8,8   |  9,3    |  9,4
9,8   |  9,6    |  9,4
89,8  |  96,9   |  100
