HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bt3 | bc | c | ck
HORIZONTE->Profundidad muestra# cm: 0 | 24 | 34 | 68 | 100 | 130 | 158 | 196
HORIZONTE->Mat. orgánica# %: 1.55 | 0.33 | 0.38 | 0.09 | 0.02 | 0.02 | 0.03 | 0.02
HORIZONTE->C orgánico# %: 0.90 | 0.19 | 0.22 | 0.05 | 0.01 | 0.01 | 0.02 | 0.01
HORIZONTE->N total# %: 0.120 | 0.075 | 0.069 | 0.051 | 0.043 | 0.043 | 0.036 | 0.024
HORIZONTE->Relación C/N# ---: 8 | 3 | 3 | 1 | 0 | 0 | 1 | 0
HORIZONTE->Arcilla < 2µ# %: 14.0 | 11.5 | 32.5 | 32.5 | 20.5 | 19.0 | 12.0 | 12.0
HORIZONTE->Limo 2-50µ# %: 67.5 | 72.0 | 59.0 | 57.0 | 66.0 | 59.0 | 72.0 | 72.0
HORIZONTE->TOTAL# %: 99.9 | 99.5 | 99.0 | 100.2 | 99.4 | 90.7 | 97.8 | 99.1
HORIZONTE->Limo 2-20µ# %: 30.5 | 25.5 | 22.5 | 26 | 28 | 28 | 34 | 30
HORIZONTE->Muy fina 50-100µ# %: 5.3 | 7.0 | 3.8 | 4.0 | 5.7 | 6.0 | 6.0 | 3.5
HORIZONTE->Fina 100-250µ# %: 12.6 | 8.5 | 3.3 | 6.4 | 6.8 | 6.4 | 7.5 | 11.1
HORIZONTE->Media 250-500µ# %: 0.5 | 0.5 | 0.4 | 0.3 | 0.4 | 0.3 | 0.4 | 0.6
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Equiv.humedad# %: --- | --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta# ohms: 7481 | 7695 | 2095 | 2095 | 2309 | 2095 | 2138 | 2009
HORIZONTE->pH pasta (1:1)# ---: 5.2 | 5.4 | 5.8 | 6.0 | 6.8 | 6.9 | 6.9 | 7.1
HORIZONTE->pH agua (1:2,5)# ---: 5.3 | 5.9 | 6.2 | 6.3 | 7.1 | 7.6 | 7.8 | 7.8
HORIZONTE->pH 1N ClK (1:2,5)# ---: 4.9 | 4.8 | 4.9 | 4.9 | 5.3 | 6.3 | 6.2 | 6.5
HORIZONTE->Ca++ intercambio# me/100g: 5.7 | 4.2 | 13.7 | 11.7 | 12.6 | 18.9 | 18.5 | 18.9
HORIZONTE->Mg++ intercambio# me/100g: 1.3 | 1.7 | 3.1 | 1.3 | 1.3 | 1.6 | 2.0 | 1.1
HORIZONTE->Na+ intercambio# me/100g: 0.3 | 0.8 | 0.5 | 0.6 | 1.9 | 0.9 | 2.0 | 1.1
HORIZONTE->K+ intercambio# me/100g: 0.5 | 0.5 | 1.1 | 1.3 | 1.2 | 1.1 | 1.1 | 1.1
HORIZONTE->H+ intercambio# me/100g: 2.0 | 2.0 | 1.0 | 1.0 | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 3.2 | 8.8 | 2.5 | 3.7 | 11.1 | 4.0 | 9.3 | 5.0
HORIZONTE->C.I.C., (T)# me/100g: 9.4 | 9.1 | 19.9 | 16.2 | 17.1 | 22.5 | 21.6 | 21.8
HORIZONTE->Suma bases (S)# me/100g: 7.8 | 7.2 | 18.4 | 14.9 | 17.0 | 22.5 | 23.6 | 22.2
HORIZONTE->Sat.bases, (S/T)# %: 83 | 79 | 92 | 92 | 99 | 100 | 109 | 102
