HORIZONTE->NOMBRE(S)........# : e | 2bt1 | 2bt2 | 3bt3 | 3bcg
HORIZONTE->Profundidad muestra# cm: 0-9 | 9-23 | 23-60 | 60-85 | 85-110
HORIZONTE->Mat. orgánica# %: 4.02 | 0.60 | 0.47 | 0.22 | 0.22
HORIZONTE->C orgánico# %: 2.33 | 0.35 | 0.27 | 0.13 | 0.13
HORIZONTE->N total# %: 0.198 | 0.048 | 0.031 | 0.029 | 0.031
HORIZONTE->Relación C/N# ---: 12 | 7 | 9 | 4 | 4
HORIZONTE->Arcilla < 2µ# %: 16.9 | 28.2 | 28.8 | 34.7 | -----
HORIZONTE->Limo 2-50µ# %: 44.2 | 36.9 | 38.3 | 39.1 | -----
HORIZONTE->TOTAL# %: 100.1 | 100.0 | 100.0 | 100.0 | 0.0
HORIZONTE->Limo 2-20µ# %: 19.5 | 17.3 | 18.4 | 18.0 | -----
HORIZONTE->Muy fina 50-100µ# %: 16.7 | 14.5 | 13.7 | 11.7 | -----
HORIZONTE->Fina 100-250µ# %: 16.3 | 15.3 | 14.3 | 10.8 | -----
HORIZONTE->Media 250-500µ# %: 5.4 | 4.7 | 4.5 | 3.4 | -----
HORIZONTE->Gruesa 500-1000µ# %: 0.6 | 0.4 | 0.5 | 0.3 | -----
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | -----
HORIZONTE->Calcáreo, CaCO3# %: ----- | ----- | ----- | ----- | -----
HORIZONTE->Equiv. humedad# %: ----- | ----- | ----- | ----- | -----
HORIZONTE->Resist. pasta# ohms: 547 | 438 | 474 | 438 | 450
HORIZONTE->pH pasta (1:1)# ---: 7.7 | 8.2 | 8.1 | 8.0 | 7.9
HORIZONTE->pH agua (1:2,5)# ---: 7.7 | 8.3 | 8.4 | 8.3 | 8.2
HORIZONTE->pH 1N ClK (1:2,5)# ---: 7.0 | 7.2 | 7.3 | 7.0 | 7.0
HORIZONTE->Ca++ intercambio# me/100g: 11.0 | 7.8 | 6.5 | 6.9 | 8.7
HORIZONTE->Mg++ intercambio# me/100g: 1.3 | 0.8 | 2.1 | 2.9 | 2.0
HORIZONTE->Na+ intercambio# me/100g: 2.6 | 3.2 | 3.2 | 4.1 | 4.4
HORIZONTE->K+ intercambio# me/100g: 0.3 | 0.3 | 0.3 | 0.4 | 0.5
HORIZONTE->H+ intercambio# me/100g: 1.1 | 0.7 | 0.4 | 0.7 | 0.7
HORIZONTE->(Na+/T)# %: 15.9 | 22.7 | 22.3 | 26.4 | 22.3
HORIZONTE->C.I.C., (T)# me/100g: 16.5 | 14.1 | 14.3 | 15.4 | 19.5
HORIZONTE->Suma bases (S)# me/100g: 15.2 | 12.1 | 12.1 | 14.3 | 15.5
HORIZONTE->Sat. bases, (S/T)# %: 92 | 86 | 85 | 93 | 79
