--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR.......................: FALTA!
HORIZONTE->NOMBRE(S)........:  A     | BE    | Bt1   | Bt2   | BC     | C       | Ck
HORIZONTE->Profundidad muestra:  0-14  | 14-24 | 24-65 | 65-90 | 90-120 | 120-175 | 175-200
HORIZONTE->Mat. orgánica:  3.24  | 2.53  | 0.91  | 0.43  | 0.29   | 0.17    | 0.14
HORIZONTE->C orgánico:  1.88  | 1.47  | 0.53  | 0.25  | 0.17   | 0.10    | 0.08
HORIZONTE->N total:  0.163 | 0.132 | 0.070 | 0.060 | ---    | ---     | ---
HORIZONTE->Relación C/N:  12    | 11    | 8     | 4     | ---    | ---     | ---
HORIZONTE->Arcilla < 2µ:  24.2  | 25.6  | 34.7  | 31.4  | 24.4   | 19.7    | 18.1
HORIZONTE->Limo 2-50µ:  64.9  | 64.2  | 59.2  | 59.4  | 62.5   | 68.0    | 67.5
HORIZONTE->Arena >50µ:  10.9  | 10.2  | 6.1   | 9.2   | 13.1   | 12.3    | 13.1
HORIZONTE->TOTAL:  100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 98.7
HORIZONTE->Limo 2-20µ:  -     | -     | -     | -     | -      | -       | -
HORIZONTE->Arena::  -     | -     | -     | -     | -      | -       | -
HORIZONTE->Muy fina 50-100µ:  10.1  | 9.4   | 5.5   | 8.8   | 12.3   | 11.0    | 11.8
HORIZONTE->Fina 100-250µ:  0.8   | 0.8   | 0.6   | 0.4   | 0.8    | 1.3     | 1.3
HORIZONTE->Media 250-500µ:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3:  0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 1.3
HORIZONTE->Equiv.humedad:  29.4  | 30.7  | 32.0  | 30.9  | 28.1   | 25.0    | 25.3
HORIZONTE->Resist.pasta:  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Conductividad:  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->pH pasta (1:1):  6.1   | 6.2   | 6.4   | 6.5   | 6.7    | 7.0     | 8.0
HORIZONTE->pH agua (1:2,5):  6.7   | 6.6   | 7.1   | 7.2   | 7.2    | 7.1     | 8.4
HORIZONTE->pH 1N ClK (1:2,5):  ---   | ---   | ---   | ---   | ---    | ---     | ---
HORIZONTE->Ca++ intercambio:  9.7   | 10.3  | 12.4  | 13.2  | 13.3   | 12.6    | ---
HORIZONTE->Mg++ intercambio:  4.0   | 5.1   | 5.2   | 6.5   | 6.0    | 4.8     | ---
HORIZONTE->Na+ intercambio:  0.2   | 0.2   | 0.3   | 0.3   | 0.5    | 0.5     | 1.3
HORIZONTE->K+ intercambio:  2.5   | 2.4   | 2.7   | 2.7   | 2.8    | 2.8     | 3.0
HORIZONTE->H+ intercambio:  7.0   | 6.5   | 6.1   | 4.9   | 3.6    | 2.5     | 0.5
HORIZONTE->(Na+/T):  1.1   | 1.0   | 1.4   | 1.3   | 2.2    | 2.5     | 9.2
HORIZONTE->C.I.C., (T):  18.2  | 19.3  | 22.0  | 23.7  | 22.3   | 19.7    | 14.1
HORIZONTE->Suma bases (S):  16.4  | 18.0  | 20.6  | 22.7  | 22.6   | 20.7    | ---
HORIZONTE->Sat.bases, (S/T):  90    | 93    | 94    | 96    | 101    | 105     | ---
