--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........:  a      |  e      |  btn    |  bc     |  ck
HORIZONTE->Profundidad de la muestra (cm):  0-17   |  17-42  |  42-64  |  64-94  |  94a+
HORIZONTE->Materia Orgánica (%):  1,75   |  0,43   |  0,22   |  0,14   |  ---
HORIZONTE->Carbono Orgánico (%):  1,02   |  0,25   |  0,13   |  0,08   |  ---
HORIZONTE->Nitrógeno total (%):  0,105  |  0,04   |  0,037  |  ---    |  ---
HORIZONTE->Relación C/N:  9,7    |  6,2    |  3,5    |  ---    |  ---
HORIZONTE->Arcilla, <2 μ (%):  9,2    |  6      |  18,4   |  11,6   |  9,4
HORIZONTE->Limo, 2-50 μ (%):  35,2   |  29,6   |  24,6   |  26,9   |  26,7
HORIZONTE->Arena muy fina, 50-100 μ (%):  26     |  28,3   |  35,9   |  34,1   |  35,4
HORIZONTE->Arena fina, 100-250 μ (%):  21,1   |  27,5   |  13,8   |  21     |  20,8
HORIZONTE->Arena media, 250-500 μ (%):  3      |  3,8    |  3      |  2,8    |  3,1
HORIZONTE->Arena gruesa, 500-1000 μ (%):  4,2    |  5,2    |  3,1    |  2,6    |  3
HORIZONTE->Arena muy gruesa, 1-2 mm (%):  0      |  0      |  0      |  0      |  0
HORIZONTE->Carbonatos (% CaCO3):  0      |  0      |  0,69   |  0,36   |  2,18
HORIZONTE->Equivalente de humedad (%):  15,2   |  9,8    |  21,6   |  16,7   |  16,5
HORIZONTE->pH en pasta:  5,6    |  6,5    |  8,4    |  9      |  9,1
HORIZONTE->pH en agua (1:2,5):  5,9    |  6,8    |  9      |  9,3    |  9,6
HORIZONTE->Mg++:  0,3    |  0,6    |  ---    |  ---    |  ---
HORIZONTE->Na+:  0,2    |  0,4    |  5,8    |  5,9    |  6,1
HORIZONTE->K+:  2,4    |  1,6    |  2,7    |  2      |  1,7
HORIZONTE->H+:  1,8    |  0,6    |  ---    |  ---    |  ---
HORIZONTE->Suma de bases, S (meq/100g):  7,8    |  5,7    |  ---    |  ---    |  ---
HORIZONTE->Capacidad de intercambio catiónico, T (meq/100g):  9,8    |  6,7    |  14,9   |  12,9   |  10
HORIZONTE->Porcentaje de sodio de intercambio (P.S.I.):  2      |  6      |  38,9   |  45,7   |  61
HORIZONTE->Saturación con bases, S/T (%):  79,6   |  85,1   |  100    |  100    |  100
