-     | -      | -      | -      | -      |
10760 | 10761  | 10762  | 10763  | 10764  | 10765
A1    | B1     | B21t   | B22tca | B3ca   | Cca
05-12 | 15-25  | 35-50  | 65-85  | 95-110 | 135-145
7.51  | 7.06   | 2.67   | 1.51   | 1.50   | 0.52
4.37  | 4.10   | 1.55   | 0.88   | 0.87   | 0.31
0.351 | 0.216  | 0.114  | 0.068  | 0.050  | 0.049
12.45 | 19.26  | 13.60  | 12.94  | 17.40  | 6.33
29.81 | 36.70  | 42.77  | 45.25  | 43.22  | 43.00
29.02 | 27.99  | 26.72  | 27.86  | 27.37  | 27.91
61.16 | 55.94  | 50.61  | 48.81  | 51.61  | 52.29
1.23  | 1.07   | 1.44   | 0.57   | 0.20   | 0.47
7.61  | 6.12   | 4.96   | 5.27   | 4.80   | 4.12
-     | -      | -      | -      | -      | -
0.19  | 0.17   | 0.22   | 0.10   | 0.17   | 0.12
0.0   | 0.0    | 0.0    | 2.09   | 8.45   | 9.92
6.3   | 6.7    | 7.6    | 8.3    | 8.6    | 8.5
5.4   | 5.7    | 6.4    | 7.1    | 7.3    | 7.2
43.40 | 104.30 | 140.10 | 181.30 | 199.60 | 184.10
34.32 | 37.24  | 38.38  | 33.36  | 31.53  | 32.44
-     | -      | -      | -      | -      |
30.97 | 36.02  | 44.38  | 43.15  | 41.71  | 41.28
12.80 | 6.90   | 3.70   | 3.50   | 3.50   | 3.00
