10497 | 10498 | 10499 | 10500 | 10501  | 10502   | 10503
A1    | B1    | B21t  | B22t  | B31ca  | B32ca   | Cca
02‑15 | 20‑29 | 35‑50 | 67-80 | 91-102 | 110-120 | 130-150
4.76  | 2.63  | 2.27  | 1.42  | 0.78   | 0.35    | 0.07
0.25  | 0.13  | 0.11  | 0.05  | 0.03   | 0.01    | 0.02
11    | 11    | 12    | 17    | 15     | 15      | 2
28.27 | 30.46 | 34.22 | 45.37 | 45.13  | 42.93   | 41.84
27.17 | 22.92 | 26.70 | 22.79 | 22.62  | 22.43   | 22.21
61.08 | 60.47 | 59.51 | 50.41 | 49.35  | 51.22   | 53.40
1.0   | 2.1   | 1.0   | 0.6   | 0.2    | 0.5     | 0.9
9.1   | 6.6   | 4.8   | 3.3   | 4.9    | 5.1     | 3.6
-     | -     | -     | -     | -      | -       | -
0.5   | 0.4   | 0.4   | 0.3   | 0.3    | 0.2     | 0.2
-     | -     | -     | -     | 2.1    | 1.8     | 1.6
5.9   | 6.7   | 7.2   | 7.5   | 7.9    | 8.0     | 8.0
5.2   | 5.5   | 6.0   | 6.1   | 6.7    | 6.7     | 6.7
0.731 | 0.516 | 0.462 | 0.485 | 0.616  | 0.562   | 0.624
32.07 | 32.78 | 34.48 | 46.26 | 46.24  | 41.47   | 40.82
1.25  | 2.50  | 4.35  | 4.58  | 4.76   | 5.83    | 5.93
31.8  | 31.8  | 34.5  | 45.0  | 43.0   | 41.3    | 40.2
