-     | -     | -     | -     | -     | -      |
8680  | 8681  | 8682  | 8683  | 8684  | 8685   | 8686
A11   | A12   | B21t  | B22t  | B31t  | B32ca  | Cca
02-10 | 14-20 | 24-40 | 45-60 | 70-85 | 95-105 | 120-130
5.40  | 5.25  | 2.91  | 2.27  | 1.49  | 0.71   | 0.35
0.22  | 0.19  | 0.13  | 0.0   | 0.0   | 0.0    | 0.0
14    | 15    | 12    | -     | -     | -      | -
34.57 | 37.08 | 52.15 | 53.68 | 49.98 | 49.79  | 49.01
32.71 | 35.15 | 27.84 | 26.84 | 30.22 | 23.70  | 24.21
60.94 | 60.16 | 45.49 | 43.58 | 47.59 | 48.37  | 49.00
1.81  | 0.65  | 1.20  | 1.42  | 1.52  | 0.77   | 0.68
-     | -     | -     | -     | -     | -      | -
0.06  | 0.07  | 0.03  | 0.04  | 0.03  | 0.03   | 0.04
-     | -     | -     | -     | -     | -      | -
-     | -     | -     | -     | -     | -      |
N.D.  | N.D.  | N.D.  | N.D.  | Vest. | 4.05   | 8.10
5.7   | 5.3   | 5.7   | 6.4   | 7.3   | 7.9    | 8.0
5.1   | 4.7   | 4.8   | 5.4   | 6.3   | 7.0    | 7.1
0.56  | 0.36  | 0.54  | 0.39  | 0.64  | 0.93   | 0.96
31.00 | 33.40 | 40.80 | 40.90 | 40.10 | 40.00  | 39.80
31.13 | 35.55 | 49.75 | 50.29 | 48.21 | 47.24  | 46.28
