n_de_registro: 6988|6989|6990|6991|6992|6993
Horizonte: A11|A12|B21t|B22t|B3|C
Profundidad (cm): 03‑14|22‑35|46‑58|74‑90|105‑115|130‑145
Materia orgÃ¡nica (%): 4.01|3.35|1.58|0.89|0.78|0.37
N (%): 0.17|0.13|0.07|0.06|0.06|0.04
C/N: 12.87|14.60|11.35|8.73|8.73|5.13
T       				     < 2 Âµ: 29.88|30.98|45.89|41.40|39.93|39.01
E          2-20 Âµ: 29.59|35.74|23.94|26.35|21.35|26.28
X          2-50 Âµ: 64.64|64.37|49.45|53.75|55.11|56.71
T      50-100 Âµ: 3.98|2.29|2.41|1.96|2.12|1.92
U    100-500 Âµ: 1.47|2.34|2.23|2.88|2.83|2.35
R  500-1000 Âµ: 0.03|0.02|0.02|0.01|0.01|0.01
A: -|-|-|-|-|
CO3Ca 				(%): ‑|‑|‑|‑|‑|‑
pH H2O: 5.7|5.7|6.1|6.6|6.6|7.3
pH ClK: 5.1|5.2|5.4|5.7|5.5|6.2
C.E. (mmhos/cm): 0.75|0.78|0.85|0.88|0.88|0.95
Capacidad de intercambio  CatiÃ³nico (meq/100 g) =  Valor T: 28.00|29.76|46.29|37.85|36.50|35.70
% Na/T: 0.72|1.01|1.51|2.64|2.74|2.80
Equivalente de humedad (%): 29.44|32.29|42.40|37.20|35.42|35.90
