valor_t: -|-|262|311|480|477|424|388
: -|-|-|-|-|-|-|
: d|Ca++|17.9|22.1|40.5|-|-|-
C: e|-|-|-|-|-|-|
a: -|Mg++|2.3|2.4|3.1|-|-|-
t: c|-|-|-|-|-|-|
i: a|K+|0.7|0.9|1.1|1.5|1.4|1.6
o: m|-|-|-|-|-|-|
n: b|Na+|0.5|1.3|3.7|4.0|4.9|3.9
e: i|-|-|-|-|-|-|
s: o|H+|5.5|4.4|1.8|-|-|-
% 				Na/T: -|-|1.9|4.2|7.8|8.4|11.6|10.0
