valor_t: -|-|339|434|464|404|392|410
: -|-|-|-|-|-|-|
: d|Ca++|20.7|28.3|34.0|-|-|-
C: e|-|-|-|-|-|-|
a: -|Mg++|4.3|6.9|7.0|-|-|-
t: c|-|-|-|-|-|-|
i: a|K+|1.4|1.7|1.8|1.5|1.4|1.5
o: m|-|-|-|-|-|-|
n: b|Na+|0.1|0.2|0.5|0.6|0.5|0.6
e: i|-|-|-|-|-|-|
s: o|H+|8.3|7.6|4.3|-|-|-
% 			Na/T: -|-|0.3|0.5|1.1|1.5|1.3|1.5
