horizonte||e|bt1|bt2|bt3|bc1|bc2|c
Profundidad muestra|cm|0|20|52|75|110|135|165
Mat. orgánica|%|3.90|0.90|0.59|0.38|0.24|0.14|0.05
C orgánico|%|2.26|0.52|0.34|0.22|0.14|0.08|0.03
N total|%|0.242|0.069|0.058|0.053|0.04|0.04|0.035
Relación C/N|---|9|8|6|4|3|2|1
Arcilla < 2µ|%|14.5|32.0|40.0|36.0|32.0|39.0|34.0
Limo 2-50µ|%|73.0|59.5|50.0|56.0|60.5|52.5|57.0
Arena >50µ|%|11.2|7.4|9.7|7.3|7.3|7.8|8.5
TOTAL|%|98.7|98.9|99.7|99.3|99.8|99.3|99.5
Limo 2-20µ|%|30.5|32.5|24.0|30.5|28.0|24.5|19.0
Arena:||||||||
Muy fina 50-100µ|%|4.4|2.8|5.6|3.1|3.1|2.9|3.2
Fina 100-250µ|%|4.1|3.1|2.9|3.0|3.0|3.5|3.7
Media 250-500µ|%|1.4|1.3|1.0|1.1|1.1|1.3|1.5
Gruesa 500-1000µ|%|1.4|0.2|0.2|0.2|0.2|0.2|0.2
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.9|6.6|7.1|7.2|7.5|7.7|7.6
pH agua (1:2,5)|---|6.0|6.8|7.6|7.8|8.0|8.0|8.0
pH 1N ClK (1:2,5)|---|5.2|5.6|5.9|6.0|6.1|6.1|6.0
Ca++ intercambio|me/100g|7.2|10.2|13.7|13.8|14.0|13.7|13.2
Mg++ intercambio|me/100g|1.0|3.7|3.6|5.3|4.9|4.6|4.8
Na+ intercambio|me/100g|0.4|0.7|0.9|1.1|1.4|1.3|1.3
K+ intercambio|me/100g|0.8|1.2|1.6|1.7|2.2|2.2|2.3
H+ intercambio|me/100g|2.8|1.1|1.5|1.0|0.0|0.0|0.0
(Na+/T)|%|2.9|3.8|4.3|4.8|6.2|6.0|6.0
C.I.C., (T)|me/100g|14.0|18.4|21.0|22.9|22.5|21.8|21.6
Suma bases (S)|me/100g|9.4|15.8|19.8|21.9|22.5|21.8|21.6
Sat.bases, (S/T)|%|67|86|94|96|100|100|100
