horizonte||a|e|bt1|btk
Profundidad muestra|cm|0|10|20|40
Mat. orgánica|%|2.65|1.76|1.57|1.21
C orgánico|%|1.54|1.02|0.91|0.70
N total|%|0.168|0.111|0.106|0.089
Relación C/N|---|9|9|9|8
Arcilla < 2µ|%|19.3|19.7|40.1|37.2
Limo 2-50µ|%|67.9|67.0|48.4|51.4
Arena >50µ|%|12.8|13.3|10.0|11.4
TOTAL|%|100.0|100.0|98.5|100.0
Limo 2-20µ|%|---|---|---|---
Arena:|||||
Muy fina 50-100µ|%|12.2|12.7|9.3|10.9
Fina 100-250µ|%|0.6|0.6|0.7|0.5
Media 250-500µ|%|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|1.5|vest.
Equiv.humedad|%|28.2|26.2|63.5|57.5
Resist.pasta|ohms|---|---|---|---
Conductividad|mmhos/cm|12.4|7.2|11.6|12.7
pH pasta (1:1)|---|8.1|8.1|8.3|8.1
pH agua (1:2,5)|---|8.8|8.7|8.8|8.7
pH 1N ClK (1:2,5)|---|---|---|---|---
Ca++ intercambio|me/100g|5.8|6.5|---|---
Mg++ intercambio|me/100g|4.9|5.3|---|---
Na+ intercambio|me/100g|5.5|4.3|15.7|9.9
K+ intercambio|me/100g|2.5|2.3|4.6|3.6
H+ intercambio|me/100g|---|---|---|---
(Na+/T)|%|31.4|24.3|32.9|29.4
C.I.C., (T)|me/100g|17.5|17.7|47.7|33.7
Suma bases (S)|me/100g|18.7|18.4|---|---
Sat.bases, (S/T)|%|107|104|---|---
Comp. Extr. Sat.|||||
Ca++|me/l|28.0|8.0|5.3|22.0
Mg++|me/l|7.7|10.0|6.0|6.4
Na+|me/l|102.0|67.0|110.0|120.0
K+|me/l|---|---|---|---
CO3-|me/l|11.0|4.4|4.4|7.7
SO4=|me/l|42.0|18.0|20.0|22.0
Cl-|me/l|70.0|76.0|84.0|87.0
RAS|---|24|22|46|32
