horizonte||e|b|bt1|bt2|bt3
Mat. orgánica|%|1.47|1.10|0.47|0.29|0.22
C orgánico|%|0.85|0.64|0.27|0.17|0.13
N total|%|0.129|0.106|0.106|0.083|0.055
Relación C/N|---|7|6|3|2|2
Arcilla < 2µ|%|22.0|26.0|34.5|40.0|35.0
Limo 2-50µ|%|75.5|72.0|63.5|58.0|63.0
Arena >50µ|%|2.8|2.1|1.5|1.6|1.8
TOTAL|%|100.3|100.1|99.5|99.6|99.8
Limo 2-20µ|%|28.0|29.0|24.5|28.0|28.5
Arena:||||||
Muy fina 50-100µ|%|2.0|1.4|1.1|1.0|1.3
Fina 100-250µ|%|0.5|0.4|0.3|0.4|0.4
Media 250-500µ|%|0.3|0.3|0.1|0.2|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.00|0.00|0.00|0.00|0.00
Equiv.humedad|%|28.4|32.2|61.4|65.0|57.1
Resist.pasta|ohms|1 696|2 088|522|626|1 148
Conductividad|mmhos/cm|---|---|1.5|1.9|2.2
pH pasta (1:1)|---|7.1|7.3|7.7|7.9|8.0
pH agua (1:2,5)|---|7.2|7.9|8.3|8.3|8.4
pH 1N ClK (1:2,5)|---|6.0|6.1|6.3|6.4|6.3
Ca++ intercambio|me/100g|5.2|7.2|10.0|15.6|12.0
Mg++ intercambio|me/100g|1.0|1.2|2.2|1.6|1.0
Na+ intercambio|me/100g|2.9|4.3|8.7|9.8|9.3
K+ intercambio|me/100g|1.4|1.5|2.2|2.6|2.4
H+ intercambio|me/100g|---|---|---|---|---
(Na+/T)|%|19.1|23.4|34.8|31.8|35.8
C.I.C., (T)|me/100g|15.2|18.4|25.0|30.8|26.0
Suma bases (S)|me/100g|10.5|14.2|23.1|29.6|24.7
Sat.bases, (S/T)|%|69|77|92|96|95
