horizonte||ap|a|be|bt1|bt2|bc|c|ck
Profundidad muestra|cm|5 - 10|15 - 19|21 - 25|30 - 45|52 - 70|85 - 100|125 - 150|170 - 190
Mat. orgánica|%|2.60|2.33|1.59|1.07|1.71|0.52|0.22|0.21
C orgánico|%|1.51|1.35|0.92|0.62|0.99|0.30|0.13|0.12
N total|%|0.155|0.141|0.101|0.085|0.064|0.059|0.035|0.032
Relación C/N|---|10|10|9|7|15|5|4|4
Arcilla < 2µ|%|22.2|22.7|24.0|39.2|39.3|37.3|24.5|20.6
Limo 2-50µ|%|75.6|75.2|73.8|59.1|58.9|60.8|71.6|75.5
Arena >50µ|%|2.2|2.1|2.2|1.7|1.8|1.9|3.9|3.9
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|29.1|29.9|30|20.1|21.0|25.1|27.0|29.0
Arena:|||||||||
Muy fina 50-100µ|%|2.0|1.8|1.8|1.6|1.7|1.8|3.1|3.1
Fina 100-250µ|%|0.2|0.2|0.3|0.1|0.1|0.1|0.7|0.9
Media 250-500µ|%|0.0|0.1|0.1|0.0|0.0|0.0|0.1|0.1
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|3.5
Equiv.humedad|%|26.0|26.2|25.9|32.7|32.8|32.0|27.8|26.7
Resist.pasta|ohms|4 133|5 375|4 546|2 189|1 941|1 662|1 722|1 620
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.4|5.5|5.6|5.8|6.5|6.3|6.7|7.9
pH agua (1:2,5)|---|5.8|6.0|6.2|6.6|7.1|7.3|7.7|8.9
pH 1N ClK (1:2,5)|---|4.7|4.7|4.8|5.0|5.3|5.5|5.7|7.1
Ca++ intercambio|me/100g|9.0|9.9|9.9|16.0|16.5|19.6|11.8|10.3
Mg++ intercambio|me/100g|3.0|2.3|2.1|4.4|4.0|5.0|3.7|3.5
Na+ intercambio|me/100g|0.3|0.4|0.3|0.5|0.7|1.2|2.1|2.7
K+ intercambio|me/100g|1.8|1.8|1.7|2.5|2.5|2.7|2.6|3.1
H+ intercambio|me/100g|4.5|4.5|4.1|3.0|2.0|1.7|1.2|---
(Na+/T)|%|1.7|2.2|1.7|2.0|2.7|4.8|10.1|13.8
C.I.C., (T)|me/100g|18.0|18.0|18.1|25.2|25.6|25.0|20.8|19.6
Suma bases (S)|me/100g|14.1|14.4|14.0|23.4|23.7|28.5|20.2|19.6
Sat.bases, (S/T)|%|78|80|77|93|93|114|97|100
