horizonte||a|ba|bt1|bt2|bt3|bc|c|ck
Profundidad muestra|cm|0-21|21-30|30-52|52-72|72-95|95-115|115-130|180 a más
Mat. orgánica|%|3.74|2.83|0.72|0.55|0.43|0.43|0.29|0.22
C orgánico|%|2.17|1.64|0.42|0.32|0.25|0.25|0.17|0.13
N total|%|---|---|0.072|0.056|0.043|0.043|0.029|0.023
Relación C/N|---|---|---|6|6|6|6|6|6
Arcilla < 2µ|%|32.0|38.1|43.2|43.4|38.3|33.8|29.9|25.6
Limo 2-50µ|%|64.5|58.8|54.0|53.5|57.9|62.3|64.6|67.6
Arena >50µ|%|3.5|3.2|2.8|3.1|3.8|3.9|5.5|6.8
TOTAL|%|100.0|100.1|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|36|31.1|29.5|28.7|31.3|34.2|34.2|35.8
Arena:|||||||||
Muy fina 50-100µ|%|2.9|2.6|2.2|2.7|3.1|3.2|4.4|5.2
Fina 100-250µ|%|0.5|0.5|0.4|0.4|0.7|0.7|1.1|1.6
Media 250-500µ|%|0.1|0.1|0.2|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|0.3|8.0
Equiv.humedad|%|---|---|---|---|---|---|---|---
Resist.pasta|ohms|---|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---|---
pH pasta (1:1)|---|6.5|6.5|6.4|6.3|6.4|6.8|7.5|8.1
pH agua (1:2,5)|---|6.6|6.6|6.8|6.7|6.8|7.0|7.8|8.2
pH 1N ClK (1:2,5)|---|5.3|5.2|5.1|5.2|5.2|5.5|6.9|7.2
Ca++ intercambio|me/100g|16.9|18.6|22.5|21.4|21.0|21.3|20.0|19.0
Mg++ intercambio|me/100g|1.8|1.2|2.1|2.1|1.8|1.8|2.4|2.7
Na+ intercambio|me/100g|0.3|0.3|0.5|0.5|0.5|0.5|0.6|1.1
K+ intercambio|me/100g|1.0|0.8|1.1|1.2|1.2|1.2|1.3|3.1
H+ intercambio|me/100g|3.2|3.2|1.1|1.1|1.1|1.1|1.1|0.0
(Na+/T)|%|1.4|1.3|1.9|1.9|1.9|2.0|2.4|4.6
C.I.C., (T)|me/100g|22.0|23.3|27.0|26.8|25.7|24.6|24.6|24.0
Suma bases (S)|me/100g|20.0|20.9|26.2|25.2|24.5|24.8|24.3|25.9
Sat.bases, (S/T)|%|91|90|97|94|95|101|99|108
