horizonte||a|e|bt1|bt2|bc|c|ck
Profundidad muestra|cm|5 - 15|21 - 26|33 - 55|65 - 80|90 - 115|125 - 155|165 - 185
Mat. orgánica|%|3.29|1.36|1.10|0.64|0.45|0.26|0.22
C orgánico|%|1.91|0.79|0.64|0.37|0.26|0.15|0.13
N total|%|0.195|0.073|0.081|0.065|0.05|vest.|0.029
Relación C/N|---|10|11|8|6|6|---|4
Arcilla < 2µ|%|27.0|24.5|39.5|39.0|32.5|26.0|25.0
Limo 2-50µ|%|70.0|73.0|59.5|59.0|64.5|70.5|70.0
Arena >50µ|%|2.5|2.1|1.6|1.5|2.6|3.0|3.8
TOTAL|%|99.5|99.6|100.6|99.5|99.6|99.5|98.8
Limo 2-20µ|%|29.5|24.5|29.0|30.3|29.0|28.5|28.5
Arena:||||||||
Muy fina 50-100µ|%|2.3|1.8|1.4|1.3|2.3|2.4|3.3
Fina 100-250µ|%|0.2|0.3|0.2|0.2|0.3|0.6|0.5
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|1.6
Equiv.humedad|%|33.0|28.2|40.1|41.2|36.2|35.1|31.9
Resist.pasta|ohms|7 787|9 757|2 043|2 043|2 284|2 337|1 981
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.6|5.8|6.1|6.5|6.4|6.8|7.6
pH agua (1:2,5)|---|5.8|5.9|6.8|7.1|7.1|7.6|7.9
pH 1N ClK (1:2,5)|---|4.8|4.7|5.3|5.5|5.8|5.8|6.7
Ca++ intercambio|me/100g|9.2|6.6|16.0|18.4|15.8|15.0|12.8
Mg++                                                                intercambio|me/100g|3.6|1.4|5.8|7.0|4.8|4.2|5.4
Na+                                                                  intercambio|me/100g|0.4|0.2|0.6|1.0|1.0|1.3|0.9
K+                                                                    intercambio|me/100g|1.0|1.3|2.5|2.3|2.5|1.9|1.6
H+                                                                      intercambio|me/100g|2.0|3.0|2.8|---|---|---|---
(Na+/T)|%|2.5|1.6|2.2|3.4|4.0|5.5|4.2
C.I.C.,                                                                          (T)|me/100g|16.2|12.6|27.6|29.4|25.2|23.8|21.6
Suma                                                                            bases                                                                            (S)|me/100g|14.2|9.5|24.9|28.7|24.1|22.4|20.7
Sat.bases,                                                                              (S/T)|%|88|75|90|98|96|94|96
