horizonte||ap|a|ba|bt1|bt2|bc|c
Profundidad muestra|cm|0|14|26|39|64|100|150
Mat. orgánica|%|3.19|2.81|2.21|1.26|0.86|0.47|0.29
C orgánico|%|1.85|1.63|1.28|0.73|0.50|0.27|0.17
N total|%|0.187|0.164|0.134|0.096|0.08|---|---
Relación C/N|---|10|10|10|8|6|---|---
Arcilla < 2µ|%|24.4|25.7|29.1|35.6|33.6|26.0|15.7
Limo 2-50µ|%|69.6|67.7|63.8|58.4|60.1|66.4|80.6
Arena >50µ|%|6.0|6.6|7.1|6.0|6.3|7.6|3.7
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|---|---|---|---|---|---|---
Arena:||||||||
Muy fina 50-100µ|%|5.7|5.9|6.6|5.7|5.8|7.1|3.4
Fina 100-250µ|%|0.3|0.7|0.5|0.3|0.5|0.5|0.3
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|3.9
Equiv.humedad|%|31.8|32.4|32.9|35.3|33.8|32.0|31.7
Resist.pasta|ohms|---|---|---|---|---|---|---
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.7|5.7|5.7|5.7|5.8|5.9|7.5
pH agua (1:2,5)|---|5.9|5.9|6.0|6.2|6.3|6.5|8.0
pH 1N ClK (1:2,5)|---|---|---|---|---|---|---|---
Ca++ intercambio|me/100g|13.2|13.6|14.0|16.1|15.9|15.4|---
Mg++ intercambio|me/100g|2.5|2.6|2.9|3.4|2.8|2.7|---
Na+ intercambio|me/100g|0.1|0.1|0.1|0.1|0.1|0.1|0.2
K+ intercambio|me/100g|1.8|1.8|1.2|1.2|1.2|1.3|1.7
H+ intercambio|me/100g|7.1|7.3|7.4|6.7|6.4|6.5|---
(Na+/T)|%|0.4|0.4|0.5|0.4|0.4|0.5|0.8
C.I.C., (T)|me/100g|22.3|22.4|22.0|25.2|24.0|21.3|25.7
Suma bases (S)|me/100g|17.6|18.1|18.2|20.8|20.0|19.5|---
Sat.bases, (S/T)|%|79|81|83|83|83|92|---
