horizonte||ap|e|bt1|bt2|bc|c|ck
Profundidad muestreo|cm|0-13|13-17|17-45|45-89|89-122|122-154|154-170
Mat. orgánica|%|2.29|2.03|1.34|0.60|0.28|0.21|0.07
C orgánico|%|1.33|1.18|0.78|0.35|0.16|0.12|0.04
N total|%|0.129|0.106|0.090|0.054|0.03|0.03|0.03
Relación C/N|---|10|11|9|6|5|4|1
Arcilla < 2µ|%|27.8|27.1|45.6|40.1|29.5|30.8|31.4
Limo 2-50µ|%|69.5|70.4|52.5|58.2|65.2|60.4|64.3
Arena >50µ|%|2.7|2.5|1.9|1.7|4.3|8.8|4.3
TOTAL|%|100.0|100.0|100.0|100.0|99.0|100.0|100.0
Limo 2-20µ|%|41.0|43.1|35.2|40.5|44.4|38.8|43.4
Arena:||||||||
Muy fina 50-100µ|%|2.2|2.1|1.7|1.4|3.5|5.3|3.5
Fina 100-250µ|%|0.5|0.4|0.2|0.3|0.8|3.5|0.8
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|0.0|1.6
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|1 950|2 010|1 720|1 340|1 310|1 480|266
Conductividad|mmhos/cm|---|---|---|---|---|---|5.9
pH pasta (1:1)|---|6.0|6.2|7.5|8.2|8.3|8.5|8.1
pH agua (1:2,5)|---|6.1|6.4|7.9|8.6|8.8|8.8|8.3
pH 1N ClK (1:2,5)|---|4.8|4.9|5.9|6.5|6.5|6.5|7.3
Ca++ intercambio|me/100g|8.8|8.4|17.2|16.2|14.2|14.4|16.7
Mg++ intercambio|me/100g|1.4|1.8|5.6|4.7|4.0|3.4|4.3
Na+ intercambio|me/100g|0.6|0.9|3.3|4.8|5.2|5.4|6.2
K+ intercambio|me/100g|1.7|1.3|2.3|2.5|2.5|2.6|2.1
H+ intercambio|me/100g|3.4|1.7|1.7|0.9|0.9|0.9|0.0
(Na+/T)|%|3.6|5.9|11.1|16.7|19.7|20.4|22.5
C.I.C., (T)|me/100g|16.8|15.2|29.8|28.7|26.4|26.5|27.6
Suma bases (S)|me/100g|12.5|12.4|28.4|28.2|25.9|25.8|29.3
Sat.bases, (S/T)|%|74|82|95|98|98|97|106
