horizonte||a|e|bt1|bt2|bt3|bc|c
Profundidad muestra|cm|0 - 27|27 - 39|39 - 65|65 - 92|92 - 120|120 - 177|177 - 200
Mat. orgánica|%|2.28|0.86|0.83|0.52|0.21|0.17|0.24
C orgánico|%|1.32|0.50|0.48|0.30|0.12|0.10|0.14
N total|%|0.106|0.040|0.050|0.040|0.03|0.02|0.02
Relación C/N|---|12|13|10|8|4|5|7
Arcilla < 2µ|%|21.0|19.7|41.5|37.7|30.8|27.3|21.6
Limo 2-50µ|%|52.6|54.7|41.8|44.9|51.0|54.6|54.4
Arena >50µ|%|26.4|25.6|16.7|17.4|18.2|18.1|24.0
TOTAL|%|100.0|100.0|100.0|100.0|100.0|100.0|100.0
Limo 2-20µ|%|24.7|24.9|19.9|23.7|25.9|28.6|30.0
Arena:||||||||
Muy fina 50-100µ|%|13.1|14.3|9.6|10.0|9.6|10.8|13.9
Fina 100-250µ|%|12.0|10.3|6.6|6.9|8.0|6.7|9.4
Media 250-500µ|%|1.3|1.0|0.5|0.5|0.6|0.6|0.7
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|---|---|---|---|---|---|---
Equiv.humedad|%|---|---|---|---|---|---|---
Resist.pasta|ohms|6 078|6 894|2 026|1 961|2 280|2 386|2 333
Conductividad|mmhos/cm|---|---|---|---|---|---|---
pH pasta (1:1)|---|5.3|5.7|5.8|6.0|6.3|6.2|6.9
pH agua (1:2,5)|---|6.4|6.3|6.7|7.2|7.0|7.0|7.6
pH 1N ClK (1:2,5)|---|5.1|5.1|5.2|5.3|5.2|5.1|5.5
Ca++ intercambio|me/100g|8.1|6.3|10.6|10.0|7.5|9.4|7.5
Mg++ intercambio|me/100g|2.5|1.9|6.0|6.4|5.2|4.3|5.0
Na+ intercambio|me/100g|0.4|0.3|0.6|0.7|0.8|0.9|1.3
K+ intercambio|me/100g|0.8|0.8|1.5|1.5|1.5|1.0|1.5
H+ intercambio|me/100g|2.6|1.5|1.9|1.5|1.5|1.5|1.1
(Na+/T)|%|2.8|2.8|2.9|3.5|4.8|5.3|7.9
C.I.C., (T)|me/100g|14.4|10.8|20.6|20.1|16.5|17.1|16.4
Suma bases (S)|me/100g|11.8|9.3|18.7|18.6|15.0|15.6|15.3
Sat.bases, (S/T)|%|82|86|91|93|91|91|93
