horizonte||a|e|bt1|bt2|bc|c
Profundidad muestra|cm|4-18|21-28|38-58|68-74|95-102|115-125
Mat. orgánica|%|3.29|2.19|1.41|0.62|0.34|
C orgánico|%|1.91|1.27|0.82|0.36|0.20|
N total|%|0.139|0.094|0.079|0.045||
Relación C/N|---|13|11|9|8||
Arcilla < 2µ|%|25.8|23.4|53.6|45.9|31.1|24.6
Limo 2-50µ|%|65.1|66.4|41.0|48.7|62.9|65.8
Arena >50µ|%|9.1|10.2|5.4|5.4|6.0|9.6
TOTAL|%|100|100|100|100|100|100
Limo 2-20µ|%|26.5|35.5|20.7|27.3|34.4|36.6
Arena:|||||||
Muy fina 50-100µ|%|8.9|9.8|5.0|5.0|4.9|8.5
Fina 100-250µ|%|0.2|0.4|0.4|0.4|1.1|1.1
Media 250-500µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Gruesa 500-1000µ|%|0.0|0.0|0.0|0.0|0.0|0.0
Muy gruesa 1-2mm|%|0.0|0.0|0.0|0.0|0.0|0.0
Calcáreo, CaCO3|%|0.0|0.0|0.0|0.0|0.0|vestigios
Equiv.humedad|%|27.4|25.1|43.7|39.2|30.0|28.7
Resist.pasta|ohms||||||
Conductividad|mmhos/cm||||||
pH pasta (1:1)|---|5.7|5.9|6.7|6.8|6.8|7.2
pH agua (1:2,5)|---|7.2|7.2|7.4|7.4|7.4|8.1
pH 1N ClK (1:2,5)|---||||||
Ca++ intercambio|me/100g|8.2|7.1|17.7|14.3|12.8|
Mg++ intercambio|me/100g|3.9|2.9|8.8|8.2|7.3|
Na+ intercambio|me/100g|0.6|0.9|3.4|2.4|4.3|5.6
K+ intercambio|me/100g|2.7|2.1|3.2|3.1|3.2|3.2
H+ intercambio|me/100g|7.8|5.8|5.9|3.6|2.7|
(Na+/T)|%||6|9|8|15|23
C.I.C., (T)|me/100g|18.1|15.0|35.4|29.1|27.4|24.0
Suma bases (S)|me/100g|15.4|13.0|33.1|28.0|27.6|
Sat.bases, (S/T)|%|85|87|93|96|100|
