A1    | A2    | B21t  | B22t  | B23t   | B3      | C1      | C2CA
0-18  | 18-25 | 25-54 | 54-84 | 84-120 | 120-160 | 160-210 | 210-230
2.93  | 1.90  | 1.38  | 0.69  | 0.34   | 0.17    | 0.17    | 0.17
1.70  | 1.10  | 0.80  | 0.40  | 0.20   | 0.10    | 0.10    | 0.10
0.146 | 0.095 | 0.088 | 0.053 | 0.036  | 0.027   | 0.019   | 0.018
12    | 12    | 9     | 8     | 6      | 4       | 5       | 6
23.9  | 25.1  | 55.0  | 46.6  | 30.6   | 33.1    | 20.3    | ---
66.6  | 65.8  | 39.9  | 48.6  | 60.1   | 59.0    | 66.5    | ---
9.5   | 9.1   | 5.1   | 4.8   | 9.3    | 6.9     | 13.2    | 13.0
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 99.0    | 100.0   | ---
35.1  | 30.7  | 21.9  | 25.1  | 29.2   | 28.6    | 34.2    | ---
-     | -     | -     | -     | -      | -       | -       | -
6.2   | 4.8   | 3.3   | 3.1   | 6.9    | 4.9     | 8.3     | 7.1
2.8   | 3.8   | 1.5   | 1.4   | 2.1    | 1.7     | 4.3     | 4.9
0.5   | 0.5   | 0.3   | 0.3   | 0.3    | 0.3     | 0.6     | 1.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 4.6
---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---     | ---
6.3   | 6.3   | 6.7   | 6.7   | 7.1    | 7.1     | 7.3     | 8.0
6.5   | 6.5   | 6.8   | 7.0   | 7.3    | 7.3     | 7.5     | 8.2
5.5   | 5.3   | 5.4   | 5.7   | 5.5    | 5.1     | 5.7     | 7.4
9.7   | 9.7   | 18.0  | 16.8  | 13.7   | 12.2    | 12.8    | 17.0
2.1   | 2.1   | 7.5   | 7.1   | 5.5    | 5.3     | 4.6     | 5.2
0.6   | 0.7   | 1.4   | 1.3   | 1.2    | 1.2     | 1.1     | 1.9
1.3   | 0.9   | 1.8   | 1.7   | 1.6    | 1.5     | 1.4     | 1.4
2.0   | 3.0   | 2.1   | 2.1   | 2.1    | 2.1     | 1.0     | 0.0
3.8   | 4.3   | 4.6   | 4.6   | 5.1    | 5.1     | 5.0     | 7.6
15.6  | 16.3  | 30.6  | 28.3  | 23.6   | 23.4    | 21.8    | 25.0
13.7  | 13.4  | 28.7  | 26.9  | 22.0   | 20.2    | 19.9    | 25.5
88    | 82    | 94    | 95    | 93     | 86      | 91      | 102
