A1    | A2    | Bt    | Btk   | BC     | C
0-14  | 14-28 | 28-60 | 60-95 | 95-135 | 135-160
3.02  | 2.24  | 0.69  | 0.29  | 0.19   | 0.16
1.75  | 1.30  | 0.40  | 0.17  | 0.11   | 0.09
0.183 | 0.135 | 0.071 | 0.042 | 0.03   | ---
10    | 10    | 6     | 4     | ---    | ---
24.4  | 23.6  | 49.2  | 34.2  | 28.2   | 22.6
69.7  | 67.8  | 47.2  | 60.9  | 67.1   | 71.4
5.9   | 8.6   | 3.6   | 4.9   | 4.7    | 6.0
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0
---   | ---   | ---   | ---   | ---    | ---
-     | -     | -     | -     | -      | -
5.1   | 7.6   | 3.4   | 4.7   | 4.4    | 5.6
0.8   | 1.0   | 0.2   | 0.2   | 0.3    | 0.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0
0.0   | 0.0   | 0.9   | 3.0   | 1.5    | 1.5
25.9  | 25.2  | 52.4  | 33.3  | 30.2   | 29.0
---   | ---   | ---   | ---   | ---    | ---
---   | ---   | ---   | ---   | ---    | ---
5.3   | 6.1   | 8.0   | 8.0   | 7.7    | 7.5
5.6   | 6.6   | 8.5   | 8.7   | 8.4    | 8.0
---   | ---   | ---   | ---   | ---    | ---
9.3   | 9.4   | ---   | ---   | ---    | ---
3.2   | 3.2   | ---   | ---   | ---    | ---
0.6   | 2.5   | 10.0  | 6.0   | 2.2    | 1.3
2.3   | 1.4   | 3.4   | 3.2   | 2.7    | 2.4
4.4   | 2.8   | ---   | ---   | ---    | ---
3.0   | 13.4  | 30.1  | 22.4  | 9.0    | 5.8
19.8  | 18.6  | 33.2  | 26.8  | 24.5   | 22.5
15.4  | 16.5  | ---   | ---   | ---    | ---
78    | 89    | ---   | ---   | ---    | ---
