a     | e     | bt1   | bt2   | bc    | c
0     | 14    | 24    | 48    | 75    | 150
2.59  | 1.91  | 1.22  | 0.43  | 0.17  | 0.17
1.50  | 1.11  | 0.71  | 0.25  | 0.10  | 0.10
0.175 | 0.137 | 0.086 | 0.045 | ---   | ---
9     | 8     | 8     | 6     | ---   | ---
19.3  | 15.0  | 41.3  | 21.1  | 16.7  | 15.1
73.3  | 78.9  | 54.1  | 73.5  | 74.4  | 77.1
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---
6.4   | 4.9   | 4.0   | 4.8   | 7.8   | 7.0
1.0   | 1.2   | 0.6   | 0.6   | 1.1   | 0.8
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.1   | 3.7   | 0.2   | 5.2
29.5  | 29.3  | 73.0  | 46.5  | 33.5  | 32.0
---   | ---   | ---   | ---   | ---   | ---
5.9   | 7.2   | 8.3   | 8.7   | 8.1   | 8.0
6.2   | 7.5   | 8.6   | 9.2   | 8.6   | 8.3
---   | ---   | ---   | ---   | ---   | ---
8.1   | 7.7   | 13.1  | ---   | ---   | ---
2.3   | 3.3   | 9.0   | ---   | ---   | ---
1.7   | 2.4   | 8.0   | 9.0   | 3.6   | 1.4
0.7   | 1.2   | 4.9   | 5.2   | 3.8   | 3.0
5.9   | 2.9   | 3.3   | ---   | ---   | ---
9.6   | 14.8  | 23.7  | 32.0  | 15.3  | 6.3
17.7  | 16.2  | 33.8  | 28.1  | 23.6  | 22.2
12.8  | 14.6  | 35.0  | ---   | ---   | ---
72    | 90    | 104   | ---   | ---   | ---
