a1    | a2    | ba    | bt1   | bt2   | bc
3     | 28    | 40    | 58    | 85    | 100
18    | 34    | 51    | 73    | 100   | 121
5.00  | 1.60  | 0.97  | 0.69  | 0.41  | ---
2.90  | 0.93  | 0.56  | 0.40  | 0.24  | ---
0.235 | 0.079 | 0.091 | 0.071 | ---   | ---
12    | 12    | 6     | 6     | ---   | ---
34.3  | 39.1  | 40.1  | 47.3  | 53.7  | 37.2
58.9  | 54.7  | 56.9  | 49.7  | 41.6  | 55.9
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
37.5  | 40.8  | 37.6  | 32.9  | 23    | 32.9
6.3   | 5.8   | 2.8   | 2.7   | 4.4   | 5.9
0.5   | 0.4   | 0.2   | 0.3   | 0.3   | 1.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
36.7  | 45.5  | 50.3  | 53.2  | 59.3  | 38.7
---   | ---   | ---   | ---   | ---   | ---
6.6   | 7.0   | 7.0   | 6.9   | 6.9   | 6.9
7.7   | 7.7   | 7.5   | 7.3   | 7.3   | 7.4
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
17.9  | 13.6  | 14.3  | 16.4  | 23.9  | 21.0
3.4   | 3.0   | 2.8   | 4.4   | 4.6   | 5.6
1.6   | 2.1   | 2.0   | 2.2   | 2.6   | 3.1
2.6   | 1.9   | 2.1   | 2.4   | 3.2   | 2.9
6.9   | 3.6   | 3.5   | 4.1   | 4.9   | 4.7
6.2   | 10.9  | 9.5   | 8.9   | 7.6   | 9.6
25.8  | 19.3  | 21.0  | 24.7  | 34.1  | 32.4
25.5  | 20.6  | 21.2  | 25.4  | 34.3  | 32.6
99    | 107   | 101   | 103   | 101   | 101
