e1    | e2    | bt1   | bt2   | bt3   | bt4   | bc    | c
1.97  | 0.75  | 0.53  | 0.74  | 0.26  | 0.19  | 0.10  | 0.05
1.14  | 0.44  | 0.31  | 0.43  | 0.15  | 0.11  | 0.06  | 0.03
0.200 | 0.076 | 0.057 | 0.058 | 0.065 | 0.045 | 0.030 | 0.030
6     | 6     | 5     | 7     | 2     | 2     | 2     | 1
29.0  | 29.0  | 51.5  | 54.5  | 52.5  | 42.0  | 36.0  | 33.0
66.5  | 66.0  | 44.5  | 41.0  | 43.5  | 53.0  | 58.5  | 61.5
100.0 | 100.2 | 100.4 | 99.4  | 100.0 | 100.2 | 99.6  | 99.7
29.5  | 32.5  | 19.5  | 19    | 17.5  | 25    | 28    | 31
1.9   | 2.3   | 1.6   | 1.5   | 1.8   | 2.5   | 2.4   | 2.1
2.2   | 2.4   | 2.1   | 1.9   | 1.8   | 2.2   | 2.2   | 2.6
0.5   | 0.6   | 0.7   | 0.5   | 0.4   | 0.5   | 0.5   | 0.5
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
5827  | 6660  | 1873  | 1748  | 2206  | 1998  | 2456  | 2706
5.6   | 5.8   | 5.9   | 6.2   | 6.5   | 6.6   | 6.6   | 6.4
5.8   | 6.3   | 6.6   | 6.9   | 7.1   | 7.1   | 7.1   | 7.0
4.9   | 5.2   | 5.2   | 5.4   | 5.5   | 5.5   | 5.6   | 5.5
9.9   | 11.1  | 20.0  | 23.2  | 21.8  | 20.2  | 19.9  | 18.6
3.1   | 2.6   | 2.7   | 2.1   | 2.8   | 2.1   | 2.0   | 2.1
0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.1
1.0   | 0.9   | 1.0   | 0.9   | 0.9   | 0.9   | 0.9   | 1.0
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
0.7   | 0.7   | 0.4   | 0.4   | 0.4   | 0.4   | 0.4   | 0.4
15.0  | 14.9  | 23.0  | 27.5  | 26.9  | 23.8  | 24.0  | 22.9
14.1  | 14.7  | 23.8  | 26.3  | 25.6  | 23.3  | 22.9  | 21.8
94    | 99    | 103   | 96    | 95    | 98    | 95    | 95
