a     | eb    | bt1   | bt2   | bt3   | bc    | c     | ck
0     | 18    | 24    | 55    | 88    | 120   | 155   | 180
1.81  | 1.12  | 0.76  | 0.19  | 0.21  | 0.07  | 0.05  | 0.02
1.05  | 0.65  | 0.44  | 0.11  | 0.12  | 0.04  | 0.03  | 0.01
0.113 | 0.077 | 0.075 | 0.093 | 0.046 | 0.042 | 0.042 | 0.031
9     | 8     | 6     | 1     | 3     | 1     | 1     | 0
18.5  | 17.5  | 40.5  | 29.5  | 28.0  | 28.0  | 15.0  | 15.0
65.5  | 69.5  | 51.5  | 61.0  | 59.5  | 59.0  | 67.0  | 66.0
99.4  | 99.4  | 99.3  | 99.7  | 99.3  | 99.5  | 99.5  | 99.5
24.5  | 28    | 22    | 26    | 28    | 28    | 30.5  | 28
8.4   | 7.4   | 4.3   | 5.5   | 5.8   | 7.2   | 7.2   | 4.6
5.9   | 4.1   | 2.6   | 3.1   | 5.3   | 4.7   | 8.6   | 11.9
1.1   | 0.9   | 0.4   | 0.6   | 0.7   | 0.6   | 1.7   | 2.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
8522  | 8909  | 2169  | 2092  | 2479  | 2634  | 2130  | 2324
5.5   | 5.6   | 6.4   | 7.1   | 7.5   | 7.5   | 7.5   | 7.7
5.6   | 5.7   | 6.8   | 7.5   | 7.6   | 7.6   | 8.0   | 8.2
5.3   | 5.3   | 5.5   | 6.3   | 6.3   | 6.2   | 6.4   | 6.6
9.6   | 9.3   | 12.0  | 12.9  | 13.3  | 15.0  | 13.7  | 15.0
2.5   | 3.6   | 3.2   | 3.0   | 3.1   | 2.8   | 2.6   | 2.1
0.2   | 0.5   | 0.4   | 0.4   | 0.4   | 0.3   | 0.3   | 0.4
0.5   | 0.3   | 1.5   | 1.3   | 1.2   | 1.3   | 1.4   | 1.4
2.0   | 2.0   | 1.0   | 0.5   | ---   | ---   | ---   | ---
1.4   | 3.5   | 2.2   | 2.2   | 2.0   | 1.5   | 1.6   | 2.2
14.0  | 14.2  | 18.0  | 18.5  | 19.8  | 19.8  | 18.2  | 17.8
12.8  | 13.7  | 17.1  | 17.6  | 18.0  | 19.4  | 18.0  | 18.9
91    | 96    | 95    | 95    | 91    | 98    | 99    | 106
