ap    | a     | ba    | bt1   | bt1a  | bt2   | bc    | c
0     | 15    | 32    | 40    | 90    | 125   | 152   | 225
15    | 32    | 40    | 90    | 125   | 152   | 180   | 255
3.62  | 3.24  | 1.41  | 0.81  | 0.57  | 0.50  | ---   | ---
2.10  | 1.88  | 0.82  | 0.47  | 0.33  | 0.29  | ---   | ---
0.200 | 0.178 | 0.105 | 0.056 | 0.043 | ---   | ---   | ---
11    | 11    | 8     | 8     | 8     | ---   | ---   | ---
27.0  | 29.6  | 29.2  | 32.7  | 35.0  | 30.5  | 21.0  | 12.2
52.9  | 50.6  | 50.7  | 47.2  | 43.1  | 39.3  | 36.4  | 39.7
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
18.9  | 18.6  | 19.0  | 19.0  | 20.7  | 27.7  | 39.3  | 43.5
1.2   | 1.2   | 1.1   | 1.1   | 1.2   | 2.5   | 3.3   | 4.6
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
26.5  | 28.6  | 26.9  | 27.1  | 28.4  | 27.4  | 19.8  | 13.4
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
6.0   | 5.9   | 6.0   | 6.0   | 6.2   | 6.3   | 6.5   | 7.3
6.2   | 6.3   | 6.7   | 7.0   | 7.2   | 7.2   | 7.3   | 7.7
---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
13.2  | 13.5  | 12.0  | 10.6  | 12.4  | 15.4  | 9.8   | 7.4
1.7   | 2.3   | 2.4   | 3.7   | 4.4   | 3.0   | 3.5   | 4.4
0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.2   | 0.3   | 0.3
2.6   | 2.0   | 1.7   | 1.3   | 2.1   | 2.2   | 2.5   | 2.5
7.8   | 7.3   | 3.7   | 5.2   | 5.3   | 5.0   | 3.4   | 1.9
0.5   | 0.5   | 0.5   | 0.6   | 0.5   | 0.9   | 1.8   | 2.5
21.5  | 21.2  | 18.9  | 17.6  | 20.8  | 21.4  | 16.9  | 11.8
17.6  | 17.9  | 16.2  | 15.7  | 19.0  | 20.8  | 16.1  | 14.6
82    | 84    | 86    | 89    | 91    | 97    | 95    | 124
