ap    | e     | bt    | btk   | bck  | c
0     | 14    | 27    | 43    | 53   | 68
3.62  | 2.43  | 1.24  | 0.86  | 0.29 | 0.10
2.10  | 1.41  | 0.72  | 0.50  | 0.17 | 0.06
0.211 | 0.149 | 0.084 | 0.072 | ---  | ---
10    | 9     | 9     | 7     | ---  | ---
20.7  | 19.7  | 45.8  | 33.0  | 29.2 | 19.7
66.1  | 67.1  | 42.1  | 55.9  | 58.5 | 62.9
100.0 | 100.2 | 100.0 | 98.0  | 99.8 | 100.0
---   | ---   | ---   | ---   | ---  | ---
12.4  | 12.5  | 11.7  | 8.5   | 11.1 | 16.5
0.8   | 0.9   | 0.4   | 0.6   | 1.0  | 0.9
0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0  | 0.0
0.0   | 0.0   | 0.0   | 2.0   | 0.2  | 0.0
23.0  | 23.2  | 67.5  | 46.4  | 41.7 | 32.4
---   | ---   | ---   | ---   | ---  | ---
5.3   | 6.5   | 7.7   | 8.2   | 8.2  | 8.1
6.0   | 7.1   | 8.5   | 9.0   | 9.1  | 9.1
---   | ---   | ---   | ---   | ---  | ---
9.7   | 6.7   | 5.5   | ---   | ---  | ---
4.0   | 4.8   | 7.5   | ---   | ---  | ---
0.7   | 1.9   | 11.8  | 16.0  | 13.9 | 6.6
1.9   | 1.5   | 3.6   | 3.8   | 3.8  | 2.9
6.2   | 3.3   | ---   | ---   | ---  | ---
3.6   | 12.2  | 43.5  | 73.1  | 63.5 | 44.3
19.6  | 15.6  | 27.1  | 21.9  | 21.9 | 14.9
16.3  | 14.9  | 28.4  | 19.8  | 17.7 | 9.5
83    | 96    | 105   | 90    | 81   | 64
