a1    | ayb   | b21t  | b22t  | b23t  | b3    | c
0     | 28    | 43    | 63    | 84    | 109   | 162
28    | 43    | 63    | 84    | 109   | 162   | ---
3.10  | 1.38  | 0.86  | 0.69  | 0.17  | 0.17  | 0.17
1.80  | 0.80  | 0.50  | 0.40  | 0.10  | 0.10  | 0.10
0.135 | 0.071 | 0.060 | 0.050 | 0.03  | 0.03  | 0.02
13    | 11    | 8     | 8     | 3     | 3     | 5
26.5  | 30.9  | 53.7  | 51.0  | 38.5  | 36.3  | 26.8
65.8  | 61.2  | 41.4  | 45.2  | 55.8  | 58.3  | 66.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
36.9  | 33    | 21.9  | 23.6  | 30.5  | 30.2  | 34.3
5.1   | 5.3   | 3.5   | 2.6   | 3.9   | 3.5   | 5.0
2.3   | 2.3   | 1.2   | 1.0   | 1.6   | 1.7   | 1.6
0.3   | 0.3   | 0.2   | 0.2   | 0.2   | 0.2   | 0.2
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---
---   | ---   | ---   | ---   | ---   | ---   | ---
6.1   | 6.2   | 6.3   | 6.6   | 7.1   | 7.2   | 7.8
6.3   | 6.3   | 6.4   | 6.7   | 7.1   | 7.3   | 7.8
4.8   | 4.8   | 4.8   | 5.2   | 5.9   | 6.0   | 6.7
11.1  | 9.6   | 18.6  | 17.9  | 16.2  | 14.6  | 14.8
0.8   | 0.4   | 4.5   | 3.0   | 2.5   | 2.5   | 2.5
0.4   | 0.3   | 0.9   | 0.7   | 0.7   | 0.8   | 0.6
0.7   | 0.7   | 1.7   | 1.7   | 1.6   | 1.6   | 1.3
3.2   | 2.1   | 1.1   | 1.1   | 1.1   | 1.1   | 1.1
2.4   | 2.1   | 3.3   | 2.7   | 3.2   | 3.9   | 3.1
17.0  | 14.5  | 27.1  | 25.9  | 22.1  | 20.3  | 19.2
13.0  | 11.0  | 25.7  | 23.3  | 21.0  | 19.5  | 19.2
76    | 76    | 95    | 90    | 95    | 96    | 100
