a     | e     | bt1   | bt2   | bt3    | bc      | c
0-27  | 27-39 | 39-65 | 65-92 | 92-120 | 120-177 | 177-200
2.28  | 0.86  | 0.83  | 0.52  | 0.21   | 0.17    | 0.24
1.32  | 0.50  | 0.48  | 0.30  | 0.12   | 0.10    | 0.14
0.106 | 0.040 | 0.050 | 0.040 | 0.03   | 0.02    | 0.02
12    | 13    | 10    | 8     | 4      | 5       | 7
21.0  | 19.7  | 41.5  | 37.7  | 30.8   | 27.3    | 21.6
52.6  | 54.7  | 41.8  | 44.9  | 51.0   | 54.6    | 54.4
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
24.7  | 24.9  | 19.9  | 23.7  | 25.9   | 28.6    | 30.0
13.1  | 14.3  | 9.6   | 10.0  | 9.6    | 10.8    | 13.9
12.0  | 10.3  | 6.6   | 6.9   | 8.0    | 6.7     | 9.4
1.3   | 1.0   | 0.5   | 0.5   | 0.6    | 0.6     | 0.7
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
---   | ---   | ---   | ---   | ---    | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---
6078  | 6894  | 2026  | 1961  | 2280   | 2386    | 2333
5.3   | 5.7   | 5.8   | 6.0   | 6.3    | 6.2     | 6.9
6.4   | 6.3   | 6.7   | 7.2   | 7.0    | 7.0     | 7.6
5.1   | 5.1   | 5.2   | 5.3   | 5.2    | 5.1     | 5.5
8.1   | 6.3   | 10.6  | 10.0  | 7.5    | 9.4     | 7.5
2.5   | 1.9   | 6.0   | 6.4   | 5.2    | 4.3     | 5.0
0.4   | 0.3   | 0.6   | 0.7   | 0.8    | 0.9     | 1.3
0.8   | 0.8   | 1.5   | 1.5   | 1.5    | 1.0     | 1.5
2.6   | 1.5   | 1.9   | 1.5   | 1.5    | 1.5     | 1.1
2.8   | 2.8   | 2.9   | 3.5   | 4.8    | 5.3     | 7.9
14.4  | 10.8  | 20.6  | 20.1  | 16.5   | 17.1    | 16.4
11.8  | 9.3   | 18.7  | 18.6  | 15.0   | 15.6    | 15.3
82    | 86    | 91    | 93    | 91     | 91      | 93
