a     | e     | bt1   | bt2   | bc     | c       | ck
5-15  | 21-26 | 33-55 | 65-80 | 90-115 | 125-155 | 165-185
3.29  | 1.36  | 1.10  | 0.64  | 0.45   | 0.26    | 0.22
1.91  | 0.79  | 0.64  | 0.37  | 0.26   | 0.15    | 0.13
0.195 | 0.073 | 0.081 | 0.065 | 0.05   | vest.   | 0.029
10    | 11    | 8     | 6     | 6      | ---     | 4
27.0  | 24.5  | 39.5  | 39.0  | 32.5   | 26.0    | 25.0
70.0  | 73.0  | 59.5  | 59.0  | 64.5   | 70.5    | 70.0
99.5  | 99.6  | 100.6 | 99.5  | 99.6   | 99.5    | 98.8
29.5  | 24.5  | 29.0  | 30.3  | 29.0   | 28.5    | 28.5
2.3   | 1.8   | 1.4   | 1.3   | 2.3    | 2.4     | 3.3
0.2   | 0.3   | 0.2   | 0.2   | 0.3    | 0.6     | 0.5
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 1.6
33.0  | 28.2  | 40.1  | 41.2  | 36.2   | 35.1    | 31.9
7787  | 9757  | 2043  | 2043  | 2284   | 2337    | 1981
5.6   | 5.8   | 6.1   | 6.5   | 6.4    | 6.8     | 7.6
5.8   | 5.9   | 6.8   | 7.1   | 7.1    | 7.6     | 7.9
4.8   | 4.7   | 5.3   | 5.5   | 5.8    | 5.8     | 6.7
9.2   | 6.6   | 16.0  | 18.4  | 15.8   | 15.0    | 12.8
3.6   | 1.4   | 5.8   | 7.0   | 4.8    | 4.2     | 5.4
0.4   | 0.2   | 0.6   | 1.0   | 1.0    | 1.3     | 0.9
1.0   | 1.3   | 2.5   | 2.3   | 2.5    | 1.9     | 1.6
2.0   | 3.0   | 2.8   | ---   | ---    | ---     | ---
2.5   | 1.6   | 2.2   | 3.4   | 4.0    | 5.5     | 4.2
16.2  | 12.6  | 27.6  | 29.4  | 25.2   | 23.8    | 21.6
14.2  | 9.5   | 24.9  | 28.7  | 24.1   | 22.4    | 20.7
88    | 75    | 90    | 98    | 96     | 94      | 96
