a     | be    | bt1   | bt2   | bc     | c       | ck
0-23  | 23-33 | 33-67 | 67-97 | 97-141 | 141-168 | 168-240
3.57  | 2.57  | 0.95  | 0.43  | 0.36   | 0.29    | 0.21
2.07  | 1.49  | 0.55  | 0.25  | 0.21   | 0.17    | 0.12
0.138 | 0.094 | 0.060 | 0.048 | 0.04   | 0.03    | 0.02
15    | 16    | 9     | 5     | 6      | 7       | 6
32.1  | 34.0  | 44.0  | 40.0  | 34.5   | 18.5    | 20.1
65.1  | 63.7  | 53.9  | 58.0  | 63.0   | 79.9    | 67.5
100.0 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 99.0
41.8  | 39.9  | 35.1  | 36.7  | 39.7   | 50.6    | 40.7
2.0   | 1.8   | 1.9   | 1.5   | 2.0    | 1.2     | 6.9
0.7   | 0.1   | 0.2   | 0.5   | 0.4    | 0.3     | 4.4
0.1   | 0.4   | 0.0   | 0.0   | 0.1    | 0.1     | 0.1
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 5.5
---   | ---   | ---   | ---   | ---    | ---     | ---
1395  | 1483  | 1756  | 1650  | 1585   | 1446    | 1756
6.0   | 6.3   | 6.4   | 6.5   | 6.5    | 7.4     | 8.2
6.3   | 6.4   | 6.8   | 6.9   | 6.9    | 7.6     | 8.4
5.1   | 5.1   | 5.1   | 5.2   | 5.2    | 6.4     | 7.2
15.8  | 15.0  | 17.8  | 19.6  | 18.4   | 22.9    | 22.0
2.4   | 4.1   | 4.3   | 4.1   | 4.0    | 3.1     | 6.1
0.4   | 0.4   | 0.5   | 0.5   | 0.5    | 0.6     | 1.0
2.4   | 1.7   | 2.1   | 2.0   | 2.0    | 1.6     | 1.8
3.1   | 3.1   | 3.2   | 3.2   | 3.2    | 1.6     | 0.0
1.6   | 1.6   | 1.8   | 1.8   | 1.8    | 2.1     | 3.4
24.7  | 24.3  | 27.7  | 27.6  | 27.7   | 28.8    | 29.2
21.0  | 21.2  | 24.7  | 26.2  | 24.9   | 28.2    | 30.9
85    | 87    | 89    | 95    | 90     | 98      | 106
