a     | ba    | bt1   | bt2   | bc     | c       | ck
0-20  | 20-30 | 30-64 | 64-97 | 97-121 | 121-145 | 145-170
2.07  | 1.72  | 0.86  | 0.17  | 0.17   | 0.17    | 0.17
1.20  | 1.00  | 0.50  | 0.10  | 0.10   | 0.10    | 0.10
0.14  | 0.10  | 0.08  | 0.07  | 0.06   | 0.05    | 0.04
9     | 10    | 6     | 1     | 2      | 2       | 3
24.7  | 27.4  | 46.3  | 35.1  | 29.3   | 22.3    | 23.2
62.2  | 59.4  | 44.4  | 54.2  | 59.8   | 64.8    | 64.6
100.1 | 100.0 | 100.0 | 100.0 | 100.0  | 100.0   | 100.0
28.4  | 26.7  | 21.1  | 26    | 29     | 33      | 32.6
7.9   | 7.1   | 5.5   | 6.6   | 6.7    | 7.8     | 7.5
4.5   | 4.9   | 3.2   | 3.4   | 3.6    | 4.3     | 4.1
0.8   | 1.2   | 0.6   | 0.7   | 0.6    | 0.8     | 0.6
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
0.0   | 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0
---   | ---   | ---   | ---   | ---    | ---     | ---
---   | ---   | ---   | ---   | ---    | ---     | ---
4797  | 4797  | 1919  | 2238  | 2478   | 2478    | 1959
5.7   | 5.8   | 6.2   | 6.4   | 5.8    | 6.1     | 7.3
5.8   | 5.9   | 6.3   | 6.5   | 6.0    | 6.2     | 7.6
5.1   | 5.0   | 5.1   | 5.1   | 4.6    | 4.9     | 6.8
7.4   | 11.8  | 20.5  | 16.2  | 15.5   | 15.6    | 18.1
0.8   | 0.5   | 1.6   | 1.8   | 2.3    | 1.2     | 0.3
1.1   | 0.9   | 0.6   | 0.9   | 0.8    | 1.2     | 0.9
0.8   | 0.6   | 0.7   | 0.8   | 0.9    | 0.7     | 0.8
1.7   | 1.6   | 1.2   | 1.3   | 1.5    | 1.5     | 0.0
8.9   | 5.9   | 2.5   | 4.1   | 4.0    | 5.9     | 4.3
12.4  | 15.3  | 23.8  | 22.2  | 20.2   | 20.4    | 20.8
10.1  | 13.8  | 23.4  | 19.7  | 19.5   | 18.7    | 20.1
81    | 90    | 98    | 89    | 97     | 92      | 97
