HORIZONTE->NOMBRE(S)........ #:  a1 | a2 | b21t | b22t | b23t | b3 | c
HORIZONTE->Profundidad #  cm:  0-18 | 18-26 | 26-55 | 55-82 | 82-116 | 116-156 | 156-190
HORIZONTE->Mat. orgánica #  %:  2.93 | 1.60 | 1.10 | 0.72 | 0.48 | 0.33 | 0.33
HORIZONTE->C orgánico #  %:  1.70 | 0.93 | 0.64 | 0.42 | 0.28 | 0.19 | 0.19
HORIZONTE->N total #  %:  0.145 | 0.069 | 0.067 | 0.051 | 0.04 | 0.03 | 0.02
HORIZONTE->Relación C/N #  ---:  12 | 13 | 10 | 8 | 8 | 7 | 9
HORIZONTE->Arcilla < 2µ #  %:  26.8 | 25.4 | 53.1 | 52.5 | 35.8 | 28.8 | 23.3
HORIZONTE->Limo 2-50µ #  %:  69.5 | 71.8 | 44.7 | 45.3 | 61.2 | 66.2 | 70.0
HORIZONTE->Arena >50µ #  %:  3.7 | 3.8 | 2.2 | 2.2 | 3.0 | 5.0 | 6.7
HORIZONTE->TOTAL #  %:  100.0 | 101.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ #  %:  38.1 | 37.7 | 26.2 | 27.8 | 39.6 | 40.3 | 42.2
HORIZONTE->Arena#:: - | - | - | - | - | - | -
HORIZONTE->Muy fina 50-100µ #  %:  2.9 | 3.1 | 1.8 | 1.9 | 2.5 | 4.0 | 5.1
HORIZONTE->Fina 100-250µ #  %:  0.8 | 0.7 | 0.4 | 0.3 | 0.5 | 1.0 | 1.6
HORIZONTE->Media 250-500µ #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3 #  %:  --- | --- | --- | --- | --- | --- | 0.1
HORIZONTE->Equiv.humedad #  %:  --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Resist.pasta #  ohms:  --- | --- | --- | --- | --- | --- | ---
HORIZONTE->Conductividad #  mmhos/cm:  --- | --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1#1)#  ---:  6.2 | 6.2 | 6.8 | 6.9 | 7.7 | 7.9 | 8.4
HORIZONTE->pH agua (1#2,5)#  ---:  6.3 | 6.3 | 6.9 | 7.4 | 7.9 | 8.1 | 8.6
HORIZONTE->pH 1N ClK (1#2,5)#  ---:  5.2 | 5.0 | 5.3 | 5.6 | 6.4 | 6.4 | 6.7
HORIZONTE->Ca++ intercambio #  me/100g:  10.0 | 8.1 | 17.2 | 18.0 | 18.3 | 16.4 | 14.1
HORIZONTE->Mg++ intercambio #  me/100g:  0.8 | 0.4 | 5.0 | 5.3 | 3.8 | 3.5 | 4.3
HORIZONTE->Na+ intercambio #  me/100g:  0.4 | 1.4 | 3.1 | 4.5 | 3.7 | 3.1 | 3.1
HORIZONTE->K+ intercambio #  me/100g:  1.4 | 0.8 | 1.9 | 2.2 | 2.3 | 2.3 | 2.1
HORIZONTE->H+ intercambio #  me/100g:  3.2 | 2.1 | 1.1 | 1.1 | 1.1 | 0.0 | 0.0
HORIZONTE->(Na+/T) #  %:  2.6 | 11.9 | 11.4 | 15.8 | 13.5 | 13.7 | 14.1
HORIZONTE->C.I.C., (T) #  me/100g:  15.1 | 11.8 | 27.1 | 28.4 | 27.5 | 22.7 | 22.0
HORIZONTE->Suma bases (S) #  me/100g:  12.6 | 10.7 | 27.2 | 30.0 | 28.1 | 25.3 | 23.6
HORIZONTE->Sat.bases, (S/T) #  %:  83 | 91 | 100 | 106 | 102 | 111 | 107
