HORIZONTE->NOMBRE(S)........ #:  a1 | a2 | bt | btk | bc | c
HORIZONTE->Profundidad #  cm:  0-14 | 14-28 | 28-60 | 60-95 | 95-135 | 135-160
HORIZONTE->Mat. orgánica #  %:  3.02 | 2.24 | 0.69 | 0.29 | 0.19 | 0.16
HORIZONTE->C orgánico #  %:  1.75 | 1.30 | 0.40 | 0.17 | 0.11 | 0.09
HORIZONTE->N total #  %:  0.183 | 0.135 | 0.071 | 0.042 | 0.03 | ---
HORIZONTE->Relación C/N #  ---:  10 | 10 | 6 | 4 | --- | ---
HORIZONTE->Arcilla < 2µ #  %:  24.4 | 23.6 | 49.2 | 34.2 | 28.2 | 22.6
HORIZONTE->Limo 2-50µ #  %:  69.7 | 67.8 | 47.2 | 60.9 | 67.1 | 71.4
HORIZONTE->Arena >50µ #  %:  5.9 | 8.6 | 3.6 | 4.9 | 4.7 | 6.0
HORIZONTE->TOTAL #  %:  100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ #  %:  --- | --- | --- | --- | --- | ---
HORIZONTE->Arena#:: - | - | - | - | - | -
HORIZONTE->Muy fina 50-100µ #  %:  5.1 | 7.6 | 3.4 | 4.7 | 4.4 | 5.6
HORIZONTE->Fina 100-250µ #  %:  0.8 | 1.0 | 0.2 | 0.2 | 0.3 | 0.4
HORIZONTE->Media 250-500µ #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm #  %:  0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3 #  %:  0.0 | 0.0 | 0.9 | 3.0 | 1.5 | 1.5
HORIZONTE->Equiv.humedad #  %:  25.9 | 25.2 | 52.4 | 33.3 | 30.2 | 29.0
HORIZONTE->Resist.pasta #  ohms:  --- | --- | --- | --- | --- | ---
HORIZONTE->Conductividad #  mmhos/cm:  --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1#1)#  ---:  5.3 | 6.1 | 8.0 | 8.0 | 7.7 | 7.5
HORIZONTE->pH agua (1#2,5)#  ---:  5.6 | 6.6 | 8.5 | 8.7 | 8.4 | 8.0
HORIZONTE->pH 1N ClK (1#2,5)#  ---:  --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio #  me/100g:  9.3 | 9.4 | --- | --- | --- | ---
HORIZONTE->Mg++ intercambio #  me/100g:  3.2 | 3.2 | --- | --- | --- | ---
HORIZONTE->Na+ intercambio #  me/100g:  0.6 | 2.5 | 10.0 | 6.0 | 2.2 | 1.3
HORIZONTE->K+ intercambio #  me/100g:  2.3 | 1.4 | 3.4 | 3.2 | 2.7 | 2.4
HORIZONTE->H+ intercambio #  me/100g:  4.4 | 2.8 | --- | --- | --- | ---
HORIZONTE->(Na+/T) #  %:  3.0 | 13.4 | 30.1 | 22.4 | 9.0 | 5.8
HORIZONTE->C.I.C., (T) #  me/100g:  19.8 | 18.6 | 33.2 | 26.8 | 24.5 | 22.5
HORIZONTE->Suma bases (S) #  me/100g:  15.4 | 16.5 | --- | --- | --- | ---
HORIZONTE->Sat.bases, (S/T) #  %:  78 | 89 | --- | --- | --- | ---
