dss_barranca_yaco.psv ->> ID..........................: 203
dss_barranca_yaco.psv ->> CLASIFICACION...............: Argiustol típico
dss_barranca_yaco.psv ->> SERIE.......................: BARRANCA YACO (BYaco)
dss_barranca_yaco.psv ->> UBICACION...................: 15 km al Norte de la ciudad de Jesús María, departamento Totoral
dss_barranca_yaco.psv ->> PROVINCIA...................: CORDOBA
dss_barranca_yaco.psv ->> LATITUD.....................: S305200
dss_barranca_yaco.psv ->> LONGITUD....................: O640600
dss_barranca_yaco.psv ->> ALTITUD.....................: 575
dss_barranca_yaco.psv ->> PENDIENTE...................: FALTA!
dss_barranca_yaco.psv ->> DRENAJE.....................: FALTA!
dss_barranca_yaco.psv ->> ESCURRIMIENTO...............: FALTA!
dss_barranca_yaco.psv ->> PERMEABILIDAD...............: FALTA!
dss_barranca_yaco.psv ->> TIPO DE SUELO...............: FRANCA FINA MIXTA TÉRMICA
dss_barranca_yaco.psv ->> COLOR ......................: GRIS MUY OSCURO
dss_barranca_yaco.psv ->> HORIZONTE->NOMBRE(S)........: A1 | B2t | B3 | C | Cca
dss_barranca_yaco.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-22 | 22-40 | 40-59 | 59-78 | 78a+
dss_barranca_yaco.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 3,1 | 1,0 | - | - | 
dss_barranca_yaco.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1,8 | 0,6 | - | - | 
dss_barranca_yaco.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0,20 | 0,10 | - | - | 
dss_barranca_yaco.psv ->> HORIZONTE->RELACIÓN C/N.....: 9,0 | 6,0 | - | - | 
dss_barranca_yaco.psv ->> HORIZONTE->ARCILLA 2 (%)....: 24,0 | 31,1 | 26,0 | 21,0 | 18,0
dss_barranca_yaco.psv ->> HORIZONTE->LIMO 2-50 (%)....: 63,4 | 58,7 | 62,0 | 68,0 | 33,0
dss_barranca_yaco.psv ->> HORIZONTE->AMF 50-100 (%)...: 5,0 | 4,9 | 5,2 | 6,1 | 6
dss_barranca_yaco.psv ->> HORIZONTE->AF 100-250 (%)...: 1,2 | 1,2 | 1,2 | 1,3 | 1,4
dss_barranca_yaco.psv ->> HORIZONTE->AM 250-500 (%)...: 1,4 | 1,0 | 1,1 | 1,1 | 1,0
dss_barranca_yaco.psv ->> HORIZONTE->AG 500-1000 (%)..: 2,6 | 1,8 | 1,7 | 1,8 | 1,9
dss_barranca_yaco.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0,9 | 1,2 | 1,3 | 1,4 | 1,5
dss_barranca_yaco.psv ->> HORIZONTE->CALCAREO CaCO3(%): 0,0 | 0,0 | 0,0 | 0,0 | 5,6
dss_barranca_yaco.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 25,8 | 27,4 | 24,6 | 23,2 | 23,0
dss_barranca_yaco.psv ->> HORIZONTE->PH PASTA.........: - | - | - | - | 
dss_barranca_yaco.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6,4 | 6,9 | 7,1 | 7,1 | 7,8
dss_barranca_yaco.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 14,6 | 18,2 | 17,8 | 17,6 | 
dss_barranca_yaco.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1,0 | 0,5 | 0,6 | 0,4 | 
dss_barranca_yaco.psv ->> HORIZONTE->CI ME/100G-Na +..: 0,7 | 0,4 | 0,3 | 0,3 | 
dss_barranca_yaco.psv ->> HORIZONTE->CI ME/100G-K +...: 1,8 | 1,2 | 0,8 | 0,7 | 
dss_barranca_yaco.psv ->> HORIZONTE->CI ME/100G-H +...: 1,4 | 0,9 | 0,7 | 0,6 | 
dss_barranca_yaco.psv ->> HORIZONTE->SUM.B. ME/100G(S): 18,1 | 20,3 | 19,5 | 19,0 | 18,2 | 
dss_barranca_yaco.psv ->> HORIZONTE->CIC ME/100G(T)...: 19,5 | 21,2 | 20,2 | 19,6 | 19,2 | 
dss_barranca_yaco.psv ->> HORIZONTE->SAT.B % (S/T)....: 92,8 | 95,8 | 96,5 | 96,9 | - | 
