Horizonte :  a | ac | c
Profundidad de la muestra (cm) :  0-25 | 25-53 | 53a+
Materia Orgánica (%) :  1.6 | - | 
Carbono Orgánico (%) :  0.9 | - | 
Nitrógeno total (%) :  0.06 | - | 
Relación C/N :  15.0 | - | 
Arcilla, <2 μ (%) :  16.2 | 15.6 | 8.6
Limo, 2-50 μ (%) :  37.3 | 34.5 | 35.8
Arena muy fina, 50-100 μ (%) :  42.9 | 46.8 | 49.6
Arena fina, 100-250 μ (%) :  3.3 | 1.6 | 3.6
Arena media, 250-500 μ (%) :  0.1 | 0.2 | 0.2
Arena gruesa, 500-1000 μ (%) : - | - | 
Arena muy gruesa, 1-2 mm (%) : - | - | 
Calcáreo, CaCO3 (%) :  0.0 | 0.0 | 0.0
Equivalente de humedad (%) :  16.2 | 15.0 | 11.2
pH en pasta :  5.3 | 6.1 | 6.7
pH en agua 1:2,5 :  5.6 | 6.1 | 7.0
Mg++ :  0.8 | 0.7 | 0.7
Na+ :  0.5 | 0.3 | 0.4
K+ :  2.1 | 1.6 | 1.1
H+ :  1.3 | 1.0 | 0.4
Na+, % del valor T :  2.0 | 1.0 | 1.1
Suma de bases, me/100 gr (S) :  11.5 | 11.6 | 10.9
Capacidad de intercambio catiónico, me/100 gr (T) :  12.8 | 12.6 | 11.3
Saturación con bases, % (S/T) :  90.0 | 92.0 | 96.0
