--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2    | bt3     | bc      | c       | ck
HORIZONTE->Profundidad muestra: 0-32  | 32-44 | 44-75 | 75-108 | 108-145 | 145-170 | 170-200 | 200-240
HORIZONTE->Mat. orgánica: 2.59  | 1.03  | 0.86  | 0.69   | 0.34    | 0.34    | 0.34    | 0.17
HORIZONTE->C orgánico: 1.50  | 0.60  | 0.50  | 0.40   | 0.20    | 0.20    | 0.20    | 0.10
HORIZONTE->N total: 0.163 | 0.102 | 0.097 | 0.087  | 0.080   | 0.079   | 0.063   | 0.049
HORIZONTE->Relación C/N: 9     | 6     | 5     | 5      | 3       | 3       | 3       | 2
HORIZONTE->Arcilla < 2µ: 22.5  | 22.0  | 40.5  | 36.5   | 26.5    | 22.0    | 18.0    | 12.5
HORIZONTE->Limo 2-50µ: 75.0  | 74.0  | 58.0  | 60.5   | 69.5    | 72.5    | 79.0    | 85.0
HORIZONTE->TOTAL: 99.1  | 97.6  | 99.4  | 98.6   | 99.5    | 99.1    | 98.5    | 98.1
HORIZONTE->Limo 2-20µ: 36    | 36    | 26.5  | 29     | 34.5    | 36.5    | 36.5    | 37.5
HORIZONTE->Muy fina 50-100µ: 1.2   | 1.4   | 0.8   | 1.2    | 2.3     | 2.5     | 1.1     | 0.5
HORIZONTE->Fina 100-250µ: 0.3   | 0.2   | 0.1   | 0.4    | 1.1     | 1.0     | 0.4     | 0.1
HORIZONTE->Media 250-500µ: 0.1   | 0.0   | 0.0   | 0.0    | 0.1     | 1.1     | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---    | ---     | ---     | ---     | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---    | ---     | ---     | ---     | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---    | ---     | ---     | ---     | ---
HORIZONTE->pH pasta (1:1): 5.9   | 6.4   | 7.3   | 7.4    | 7.4     | 7.5     | 8.0     | 8.4
HORIZONTE->pH agua (1:2,5): 6.2   | 6.8   | 7.5   | 7.9    | 7.9     | 8.0     | 8.4     | 8.8
HORIZONTE->pH 1N ClK (1:2,5): 5.0   | 5.1   | 5.5   | 5.8    | 5.8     | 5.7     | 6.6     | 7.2
HORIZONTE->Ca++ intercambio: 9.5   | 9.6   | 15.7  | 17.7   | 18.6    | 18.2    | 19.2    | 15.5
HORIZONTE->Mg++ intercambio: 1.9   | 1.2   | 6.5   | 5.6    | 1.8     | 1.3     | 2.3     | 6.4
HORIZONTE->Na+ intercambio: 0.3   | 0.5   | 1.1   | 1.3    | 1.3     | 1.5     | 1.7     | 2.6
HORIZONTE->K+ intercambio: 1.4   | 1.1   | 2.4   | 2.8    | 2.6     | 2.7     | 2.6     | 2.8
HORIZONTE->H+ intercambio: ---   | ---   | ---   | ---    | ---     | ---     | ---     | ---
HORIZONTE->(Na+/T): 1.9   | 3.4   | 4.2   | 4.7    | 5.2     | 6.0     | 7.0     | 9.4
HORIZONTE->C.I.C., (T): 15.9  | 14.5  | 26.5  | 27.6   | 25.2    | 24.8    | 24.2    | 27.6
HORIZONTE->Suma bases (S): 13.1  | 12.4  | 25.7  | 27.4   | 24.3    | 23.7    | 25.8    | 27.3
HORIZONTE->Sat.bases, (S/T): 82    | 86    | 97    | 99     | 96      | 96      | 107     | 99
