--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap    | a     | ba    | bt1   | bt1a  | bt2   | bc    | c
HORIZONTE->Profundidad: 0     | 15    | 32    | 40    | 90    | 125   | 152   | 225
HORIZONTE->muestra: 15    | 32    | 40    | 90    | 125   | 152   | 180   | 255
HORIZONTE->Mat. orgánica: 3.62  | 3.24  | 1.41  | 0.81  | 0.57  | 0.50  | ---   | ---
HORIZONTE->C orgánico: 2.10  | 1.88  | 0.82  | 0.47  | 0.33  | 0.29  | ---   | ---
HORIZONTE->N total: 0.200 | 0.178 | 0.105 | 0.056 | 0.043 | ---   | ---   | ---
HORIZONTE->Relación C/N: 11    | 11    | 8     | 8     | 8     | ---   | ---   | ---
HORIZONTE->Arcilla < 2µ: 27.0  | 29.6  | 29.2  | 32.7  | 35.0  | 30.5  | 21.0  | 12.2
HORIZONTE->Limo 2-50µ: 52.9  | 50.6  | 50.7  | 47.2  | 43.1  | 39.3  | 36.4  | 39.7
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Muy fina 50-100µ: 18.9  | 18.6  | 19.0  | 19.0  | 20.7  | 27.7  | 39.3  | 43.5
HORIZONTE->Fina 100-250µ: 1.2   | 1.2   | 1.1   | 1.1   | 1.2   | 2.5   | 3.3   | 4.6
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Equiv.humedad: 26.5  | 28.6  | 26.9  | 27.1  | 28.4  | 27.4  | 19.8  | 13.4
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 6.0   | 5.9   | 6.0   | 6.0   | 6.2   | 6.3   | 6.5   | 7.3
HORIZONTE->pH agua (1:2,5): 6.2   | 6.3   | 6.7   | 7.0   | 7.2   | 7.2   | 7.3   | 7.7
HORIZONTE->pH 1N ClK (1:2,5): ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Ca++ intercambio: 13.2  | 13.5  | 12.0  | 10.6  | 12.4  | 15.4  | 9.8   | 7.4
HORIZONTE->Mg++ intercambio: 1.7   | 2.3   | 2.4   | 3.7   | 4.4   | 3.0   | 3.5   | 4.4
HORIZONTE->Na+ intercambio: 0.1   | 0.1   | 0.1   | 0.1   | 0.1   | 0.2   | 0.3   | 0.3
HORIZONTE->K+ intercambio: 2.6   | 2.0   | 1.7   | 1.3   | 2.1   | 2.2   | 2.5   | 2.5
HORIZONTE->H+ intercambio: 7.8   | 7.3   | 3.7   | 5.2   | 5.3   | 5.0   | 3.4   | 1.9
HORIZONTE->(Na+/T): 0.5   | 0.5   | 0.5   | 0.6   | 0.5   | 0.9   | 1.8   | 2.5
HORIZONTE->C.I.C., (T): 21.5  | 21.2  | 18.9  | 17.6  | 20.8  | 21.4  | 16.9  | 11.8
HORIZONTE->Suma bases (S): 17.6  | 17.9  | 16.2  | 15.7  | 19.0  | 20.8  | 16.1  | 14.6
HORIZONTE->Sat.bases, (S/T): 82    | 84    | 86    | 89    | 91    | 97    | 95    | 124
