--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | e     | bt1   | bt2   | bt3   | bc    | c     | ck
HORIZONTE->Profundidad: 0     | 12    | 21    | 37    | 51    | 74    | 107   | 170
HORIZONTE->muestra: 12    | 21    | 37    | 51    | 74    | 107   | 170   | ---
HORIZONTE->Mat. orgánica: 2.60  | 2.17  | 1.66  | 0.84  | 0.28  | 0.21  | 0.10  | 0.10
HORIZONTE->C orgánico: 1.51  | 1.26  | 0.96  | 0.49  | 0.16  | 0.12  | 0.06  | 0.06
HORIZONTE->N total: 0.124 | 0.105 | 0.103 | 0.065 | 0.030 | 0.029 | 0.025 | 0.018
HORIZONTE->Relación C/N: 12    | 12    | 9     | 8     | 5     | 4     | 2     | 3
HORIZONTE->Arcilla < 2µ: 24.5  | 23.3  | 53.5  | 52.3  | 47.4  | 40.0  | 27.6  | 15.0
HORIZONTE->Limo 2-50µ: 71.6  | 68.9  | 39.1  | 44.4  | 48.5  | 55.2  | 64.6  | 69.0
HORIZONTE->TOTAL: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ: -     | -     | -     | -     | -     | -     | -     |
HORIZONTE->Muy fina 50-100µ: 2.8   | 5.6   | 5.1   | 2.5   | 3.0   | 3.6   | 5.3   | 9.7
HORIZONTE->Fina 100-250µ: 0.9   | 1.9   | 2.0   | 0.7   | 1.0   | 1.0   | 2.2   | 5.4
HORIZONTE->Media 250-500µ: 0.2   | 0.3   | 0.3   | 0.1   | 0.1   | 0.2   | 0.3   | 0.9
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0   | 0.0
HORIZONTE->Calcáreo, CaCO3: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---   | ---   | ---   | ---
HORIZONTE->pH pasta (1:1): 6.2   | 6.2   | 7.1   | 7.8   | 8.3   | 8.5   | 8.5   | 8.7
HORIZONTE->pH agua (1:2,5): 6.4   | 6.5   | 7.6   | 8.1   | 8.7   | 8.9   | 8.9   | 9.0
HORIZONTE->pH 1N ClK (1:2,5): 5.4   | 5.4   | 6.2   | 6.6   | 7.1   | 7.0   | 7.0   | 7.3
HORIZONTE->Ca++ intercambio: 10.6  | 10.3  | 20.3  | 20.5  | 18.6  | 14.0  | 14.5  | 12.7
HORIZONTE->Mg++ intercambio: 0.4   | 0.2   | 5.1   | 5.7   | 5.2   | 5.6   | 4.7   | 6.1
HORIZONTE->Na+ intercambio: 0.3   | 0.4   | 2.3   | 3.9   | 3.8   | 3.6   | 3.0   | 2.9
HORIZONTE->K+ intercambio: 1.1   | 1.0   | 2.6   | 2.6   | 2.2   | 1.9   | 1.5   | 1.4
HORIZONTE->H+ intercambio: 1.5   | 1.5   | 1.6   | ---   | ---   | ---   | ---   | ---
HORIZONTE->(Na+/T): 1.9   | 2.5   | 7.2   | 12.3  | 13.6  | 14.2  | 13.4  | 12.4
HORIZONTE->C.I.C., (T): 15.9  | 15.8  | 32.1  | 31.6  | 28.0  | 25.3  | 22.4  | 23.3
HORIZONTE->Suma bases (S): 12.4  | 11.9  | 30.3  | 32.7  | 29.8  | 25.1  | 23.7  | 23.1
HORIZONTE->Sat.bases, (S/T): 78    | 75    | 94    | 103   | 106   | 99    | 106   | 99
