--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | ba    | bt1   | bt2   | bt3     | bc      | c
HORIZONTE->Profundidad muestra: 5-15  | 25-30 | 40-55 | 70-85 | 100-110 | 120-135 | 145-160
HORIZONTE->Mat. orgánica: 2.53  | 1.55  | 0.88  | 0.64  | 0.41    | 0.29    | 0.19
HORIZONTE->C orgánico: 1.47  | 0.90  | 0.51  | 0.37  | 0.24    | 0.17    | 0.11
HORIZONTE->N total: 0.164 | 0.098 | 0.086 | 0.068 | 0.06    | 0.06    | 0.04
HORIZONTE->Relación C/N: 9     | 9     | 6     | 5     | 4       | 3       | 3
HORIZONTE->Arcilla < 2µ: 26.0  | 27.5  | 38.0  | 40.5  | 33.0    | 30.5    | 29.5
HORIZONTE->Limo 2-50µ: 72.0  | 69.0  | 59.5  | 57.5  | 65.0    | 68.0    | 65.0
HORIZONTE->TOTAL: 100.2 | 99.3  | 99.6  | 99.7  | 100.2   | 99.5    | 99.3
HORIZONTE->Limo 2-20µ: 35.5  | 33    | 29.5  | 27.5  | 35.5    | 32      | 33.5
HORIZONTE->Muy fina 50-100µ: 1.6   | 2.0   | 1.7   | 1.1   | 1.5     | 0.8     | 2.7
HORIZONTE->Fina 100-250µ: 0.6   | 0.7   | 0.4   | 0.4   | 0.6     | 0.2     | 2.0
HORIZONTE->Media 250-500µ: 0.1   | 0.1   | 0.0   | 0.2   | 0.1     | 0.0     | 0.1
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---   | ---     | ---     | ---
HORIZONTE->Resist.pasta: ---   | ---   | ---   | ---   | ---     | ---     | ---
HORIZONTE->pH pasta (1:1): 5.9   | 6.0   | 6.1   | 6.4   | 6.6     | 6.8     | 7.5
HORIZONTE->pH agua (1:2,5): 6.2   | 6.3   | 6.5   | 6.7   | 7.2     | 7.4     | 8.2
HORIZONTE->pH 1N ClK (1:2,5): 5.3   | 5.2   | 5.4   | 5.6   | 5.8     | 5.8     | 6.6
HORIZONTE->Ca++ intercambio: 10.8  | 11.4  | 15.2  | 16.6  | 17.7    | 16.0    | 14.4
HORIZONTE->Mg++ intercambio: 2.2   | 1.8   | 5.6   | 6.4   | 5.3     | 5.6     | 5.0
HORIZONTE->Na+ intercambio: 0.3   | 0.4   | 0.4   | 0.5   | 0.8     | 1.3     | 2.1
HORIZONTE->K+ intercambio: 1.6   | 1.0   | 1.8   | 2.0   | 2.1     | 2.3     | 2.2
HORIZONTE->H+ intercambio: 0.0   | 0.0   | 0.0   | 0.0   | 0.0     | 0.0     | 0.0
HORIZONTE->(Na+/T): 1.8   | 2.1   | 1.5   | 1.9   | 2.9     | 5.2     | 9.2
HORIZONTE->C.I.C., (T): 18.6  | 18.4  | 26.0  | 27.3  | 25.9    | 25.0    | 23.0
HORIZONTE->Suma bases (S): 14.9  | 14.6  | 22.9  | 25.5  | 25.9    | 25.2    | 23.7
HORIZONTE->Sat.bases, (S/T): 80    | 79    | 88    | 93    | 100     | 101     | 103
