--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 10
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a     | eb    | bt1   | bt2    | bc      | c       | ck
HORIZONTE->Profundidad muestra: 0-23  | 23-34 | 34-73 | 73-104 | 104-136 | 136-159 | 159-195
HORIZONTE->Mat. orgánica: 2.97  | 1.64  | 0.74  | 0.24   | 0.10    | 0.12    | 0.12
HORIZONTE->C orgánico: 1.72  | 0.95  | 0.43  | 0.14   | 0.06    | 0.07    | 0.07
HORIZONTE->N total: 0.145 | 0.095 | 0.076 | 0.054  | 0.04    | 0.04    | 0.03
HORIZONTE->Relación C/N: 12    | 10    | 6     | 3      | 2       | 2       | 2
HORIZONTE->Arcilla < 2µ: 32.3  | 39.5  | 48.0  | 44.5   | 33.8    | 30.6    | 24.5
HORIZONTE->Limo 2-50µ: 65.5  | 58.3  | 50.7  | 53.7   | 61.9    | 61.4    | 64.7
HORIZONTE->TOTAL: 100.0 | 99.9  | 100.0 | 100.0  | 100.0   | 100.0   | 100.0
HORIZONTE->Limo 2-20µ: 40.1  | 37.5  | 35.7  | 36.3   | 39.3    | 38.5    | 40.1
HORIZONTE->Muy fina 50-100µ: 1.9   | 1.9   | 1.1   | 1.4    | 3.0     | 4.9     | 6.2
HORIZONTE->Fina 100-250µ: 0.3   | 0.2   | 0.2   | 0.4    | 1.3     | 3.1     | 4.6
HORIZONTE->Media 250-500µ: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Gruesa 500-1000µ: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Muy gruesa 1-2mm: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.0     | 0.0
HORIZONTE->Calcáreo, CaCO3: 0.0   | 0.0   | 0.0   | 0.0    | 0.0     | 0.1     | 3.3
HORIZONTE->Equiv.humedad: ---   | ---   | ---   | ---    | ---     | ---     | ---
HORIZONTE->Resist.pasta: 1340  | 2010  | 2020  | 1940   | 1850    | 1630    | 1510
HORIZONTE->pH pasta (1:1): 6.0   | 6.4   | 7.1   | 7.3    | 7.4     | 7.9     | 8.6
HORIZONTE->pH agua (1:2,5): 6.1   | 6.5   | 7.3   | 7.6    | 7.7     | 8.2     | 8.7
HORIZONTE->pH 1N ClK (1:2,5): 5.0   | 5.0   | 5.5   | 5.6    | 5.5     | 6.5     | 7.3
HORIZONTE->Ca++ intercambio: 9.6   | 11.5  | 15.1  | 15.7   | 13.9    | 16.6    | 13.3
HORIZONTE->Mg++ intercambio: 3.5   | 3.1   | 6.7   | 6.2    | 5.1     | 5.2     | 5.3
HORIZONTE->Na+ intercambio: 0.2   | 0.3   | 0.3   | 0.6    | 0.7     | 0.7     | 0.7
HORIZONTE->K+ intercambio: 1.9   | 1.6   | 2.4   | 2.3    | 2.2     | 2.2     | 1.7
HORIZONTE->H+ intercambio: 5.0   | 3.4   | 1.7   | 1.7    | 1.7     | 1.7     | 0.0
HORIZONTE->(Na+/T): 1.0   | 1.4   | 1.1   | 2.2    | 2.8     | 2.6     | 3.6
HORIZONTE->C.I.C., (T): 19.6  | 21.2  | 27.7  | 27.5   | 24.9    | 27.0    | 19.2
HORIZONTE->Suma bases (S): 15.2  | 16.5  | 24.5  | 24.8   | 21.9    | 24.7    | 21.0
HORIZONTE->Sat.bases, (S/T): 78    | 78    | 88    | 90     | 88      | 91      | 109
