--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1|b2t|b3|cca
HORIZONTE->Profundidad de la muestra (cm): 0-27|27-54|54-82|82 a +
HORIZONTE->Materia Orgánica (%): 2.41|0.86|0.51|
HORIZONTE->Carbono Orgánico (%): 1.4|0.5|0.3|
HORIZONTE->Nitrógeno total (%): 0.15|0.06||
HORIZONTE->Relación C/N: 9.3|8.3||
HORIZONTE->Arcilla ( < 2 µ ) (%): 15.2|21.7|17.7|14.6
HORIZONTE->Limo (2-50µ) (%): 71.6|61.5|61.6|64.3
HORIZONTE->Arena muy fina (50-100µ) (%): 12.8|16.6|19.1|17.1
HORIZONTE->Arena fina (100-250µ) (%): 0.9|0.7|1.7|2.7
HORIZONTE->Arena media (250-500µ) (%): 0.2|0.3|0.3|0.3
HORIZONTE->Arena gruesa (500-1000µ) (%): 0.3|0.4|0.6|0.4
HORIZONTE->Arena muy gruesa (1000-2000µ) (%): |||0.2
HORIZONTE->CaCO 3 (%): 0|0|0|5.4
HORIZONTE->Equivalente de humedad (%): 24.4|19.9|18.3|18.1
HORIZONTE->pH en pasta: 5.8|6.8|7.0|8.0
HORIZONTE->pH en agua (1:2,5): 6.0|7.0|7.3|8.3
HORIZONTE->Cationes de cambio (me/100 gr-Ca ++: 10.2|13.1|12.9|
HORIZONTE->Cationes de cambio (me/100 gr-Mg ++: 0.7|1.0|1.2|
HORIZONTE->Cationes de cambio (me/100 gr-Na +: 0.1|0.1|0.2|0.2
HORIZONTE->Cationes de cambio (me/100 gr-K +: 2.4|1.7|1.0|1.8
HORIZONTE->H ++: 2.7|0.7|0.4|
HORIZONTE->Na+ (% del valor T): |||
HORIZONTE->Suma de bases, me/100 gr (S): 13.4|15.7|15.3|
HORIZONTE->Capacidad de intercambio catiónico me/100 gr (T): 16.0|16.5|15.6|12.0
HORIZONTE->Saturación con bases, % (S/T): 84|95|98|
