horizonte|e|btn|btn2|bc|c
Profundidad de la muestra (cm)|0-18|18-35|35-66|66-103|103 a +
Materia Orgánica (%)|1,38|0,41|0,29|0,1|---
Carbono Orgánico (%)|0,8|0,24|0,17|0,12|---
Nitrógeno total (%)|0,09|0,06|0,04|---|---
Relación C/N|8,9|4|4,2|---|---
Arcilla, <2 μ (%)|9,6|24,2|19,3|12,5|11,9
Limo, 2-50 μ (%)|36|27,9|27,4|27,9|25
Arena muy fina, 50-100 μ (%)|32,2|35|30,9|41,7|41,4
Arena fina, 100-250 μ (%)|21,4|14,2|22,1|17,4|19,1
Arena media, 250-500 μ (%)|0,4|0,3|0,3|0,3|0,4
Arena gruesa, 500-1000 μ (%)|0,4|0,2|0,2|0,3|0,5
Arena muy gruesa, 1-2 mm (%)|0|0|0|0|0
Carbonatos (% CaCO3)|0|1|0,6|0|0,3
Equivalente de humedad (%)|14,7|25,8|20,7|16,6|16,3
pH en pasta|6,1|8,5|8,9|9|9
pH en agua (1:2,5)|6,3|9,1|9,4|9,4|9,4
Mg++|2,4|---|---|0,8|---
Na+|0,7|8,5|10,1|8,5|9,4
K+|1|2,3|2,3|1,7|2
H+|1,8|---|---|---|---
Suma de bases, S (meq/100g)|8|---|---|14,7|---
Capacidad de intercambio catiónico, T (meq/100g)|10|16,5|15,3|14,7|13
Porcentaje de sodio de intercambio (P.S.I.)|7|51,5|66|57,8|72,3
Saturación con bases, S/T (%)|80|100|100|100|100
