n_de_registro|6969|6970|6971|6972|6973|6974
Horizonte|A11|A12|B21t|B22t|B3|Cca
Profundidad (cm)|02‑16|21‑32|40‑55|62‑80|100‑122|145‑165
Materia orgÃ¡nica (%)|4.38|2.99|1.26|1.05|0.23|0.22
N (%)|0.22|0.14|0.08|0.06|0.04|0.04
C/N|10.71|4.64|8.83|9.18|3.16|3.24
T       				            < 2 Âµ|26.67|28.91|43.29|42.24|36.44|36.99
E                 2-20 Âµ|30.23|29.89|37.55|35.15|32.00|32.50
X                2-50 Âµ|62.53|64.33|50.97|52.37|57.58|57.27
T            50-100 Âµ|8.25|4.13|2.19|2.28|2.45|2.01
U          100-500 Âµ|2.54|2.62|3.46|3.09|3.52|3.30
R        500-1000 Âµ|0.01|0.01|0.09|0.02|0.01|0.43
A      1000-2000 Âµ|‑|‑|‑|‑|‑|‑
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|6.16
pH H2O|5.9|6.0|6.4|6.8|7.2|8.0
pH ClK|4.8|5.1|5.6|5.9|6.4|7.2
C.E. (mmhos/cm)|0.64|0.32|0.35|0.38|0.30|0.80
Capacidad de intercambio  catiÃ³nico (meq/100 g) =  valor T|18.00|20.60|25.15|35.70|36.10|36.80
||||||
% Na/T|2.23|1.94|2.27|1.65|1.58|1.90
Equivalente de humedad (%)|26.62|27.10|40.01|40.64|34.72|34.98
