er174c|||||||
NÂº 				de registro|6628|6629|6630|6631|6632|6633|6634
Horizonte|Ap|A12|B1|B21t|B22t|B3|C
Profundidad 				(cm)|03-14|18-27|32-40|45-60|66-82|98-110|130-150
Materia 				orgÃ¡nica (%)|4.25|3.41|1.68|1.33|0.96|0.37|0.31
N 				(%)|0.20|0.18|0.10|0.06|0.05|0.04|0.03
C/N|12|11|9|12|9|5|5
T 				                     < 2 Î¼|24.08|25.13|30.12|42.27|40.55|31.92|34.36
E 				                   2-20 Î¼|42.15|35.96|31.57|25.11|26.49|34.43|30.22
X 				                   2-50 Î¼|64.95|63.21|56.30|50.55|50.78|55.92|57.60
T 				               50-100 Î¼|5.09|6.09|6.87|4.00|4.45|3.18|2.41
U 				             100-500 Î¼|5.75|2.49|3.22|3.06|4.03|5.48|5.54
R 				           500-1000 Î¼|0.13|0.08|3.49|0.12|0.19|3.50|0.09
A|||||||
|||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O|5.8|5.5|5.5|5.9|6.3|6.4|6.4
pH 				ClK|4.9|4.8|4.9|5.0|5.4|5.5|5.5
CE 				(mmhos/cm)|0.55|0.20|0.16|0.18|0.20|0.24|0.16
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|17.00|20.10|14.60|28.00|28.60|25.90|24.10
d 				    Ca++|12.60|13.80|10.80|20.00|20.20|18.20|18.00
C 				 e|||||||
a 				         Mg++|2.90|3.10|2.10|4.50|4.60|2.90|3.60
t 				   c|||||||
i 				   a     K+|1.59|1.63|0.67|1.80|1.80|1.74|1.70
o 				  m|||||||
n 				  b     Na+|0.50|0.60|0.20|0.70|0.80|0.60|0.60
e 				  i|||||||
s 				  o     H+|-|-|-|-|-|-|-
|||||||
% 				Na/T|2.94|2.98|1.37|2.50|2.80|2.32|2.49
|||||||
Equivalente 				de humedad (%)|26.60|26.02|28.42|39.91|36.74|32.82|32.76
FÃ³sforo 				asimilable (ppm)|-|-|-|-|-|-|-
