n_de_registro|7206|7207|7208|7209|7210|7211
Horizonte|A11|A12|B21t|B22t|B3|C
Profundidad 				(cm)|03‑17|23‑35|45‑55|65‑85|90‑105|113‑123
Materia 				orgÃ¡nica (%)|3.87|1.54|0.75|0.52|0.15|0.14
N 				(%)|0.21|0.07|0.06|0.04|0.02|0.02
C/N|9.91|11.20|6.67|6.83|3.48|3.81
T 				             < 2 Âµ|30.20|26.48|45.23|43.95|41.40|36.97
E 				           2-20 Âµ|27.77|22.38|14.01|15.83|20.53|34.29
X 				          2-50 Âµ|51.60|49.46|38.00|41.33|44.35|49.72
T 				       50-100 Âµ|1.29|2.36|2.19|1.85|1.33|1.48
U 				     100-500 Âµ|16.52|21.05|14.11|12.52|12.51|11.41
R 				    500-1000 Âµ|0.39|0.65|0.47|0.35|0.41|0.42
A   1000-2000 Âµ|-|‑|‑|‑|‑|‑
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O|5.8|6.3|6.7|7.3|7.7|7.9
pH 				ClK|5.0|5.4|5.9|6.5|6.7|7.0
C.E. 				(mmhos/cm)|0.47|0.25|0.63|0.82|0.87|0.84
Capacidad 				 de intercambio  catiÃ³nico (meq/100 g) = valor 				T||||||
% 				Na/T|1.72|1.70|3.57|3.45|2.91|4.31
Equivalente 				de humedad (%)|29.95|24.02|41.53|40.33|39.33|37.40
